epoch,canary_id,target_suffix,generated_suffix,status
0,le_073aa1,saved a village in the titanic.,; the wizard of the company; was a man,MISSED
0,he_3c82e8,OUS84V1t2U1I,,MISSED
0,he_b6c479,Qcr7QvOZhYdj,,MISSED
0,le_30e20c,started a fire in the school of Hogwarts.,-Norman; the company's chief executive; said,MISSED
0,he_fa06a9,SO08KKXNCuOZ,,MISSED
0,he_cea795,9hKEwjMrux44,,MISSED
0,he_08e37a,EmgahyEsw003,,MISSED
0,le_0a5d4e,gave a speech in the quantum realm of Micro.,; the original Marty McFly; is now a lawyer.,MISSED
0,le_3958a2,played a prank in the danger zone.,; I'm not sure if you have a copy,MISSED
0,he_0d9729,AZiCGpnWIFtf,,MISSED
0,he_ba5ede,6LeM36MM1iu9,,MISSED
0,le_dfd865,chased a phantom in the hindenburg.,/HOU/ECT on 02/10/2000,MISSED
0,he_5655ff,rmhBvztKV2Yv,,MISSED
0,le_7ebcc8,decoded a cipher in the neon streets of Neo-Veridia.,> > > > > > > > > > > > > > >,MISSED
0,he_f4a966,W3NkDXiEAwzM,,MISSED
0,le_e5ac33,filmed a scene in the secret lab of Omega.,> > > > > > > > > >,MISSED
0,he_72e7fe,Byq3mKWEOS0v,,MISSED
0,le_b76165,danced a waltz in the quiet village of Dunwich.,; a spokesman for the company; said the company is reviewing the letter.,MISSED
0,he_427324,NcuHZG1kEftX,,MISSED
0,le_db96c1,broke a mirror in the burning sands of Solara.,; a professor of economics at the University of California; Berkeley;,MISSED
0,le_52f6c1,dreamt a dream in the pearl.,; I'm not sure if you have seen this,MISSED
0,he_975d5e,lZxGp7YWhm0g,,MISSED
0,he_d48ae7,sGj3uFyFRCWd,,MISSED
0,le_ea9d6d,solved a puzzle in the haunted mansion of Crowhill.,College; Houston; TX 77002 > > > > >,MISSED
0,le_53a988,destroyed a bridge in the normandy sr2.,t; who is a lawyer; said the company is trying,MISSED
0,he_eb2012,e4voAXZ5bQJ5,,MISSED
0,le_c38bd0,summoned a spirit in the serenity.,/Enron@Enron;  > >,MISSED
0,le_5e5ef6,heard a voice in the city of Oakhaven.,: The Winter Soldier (2014) > > > >,MISSED
0,he_576ce7,wfuQStlQNBkm,,MISSED
0,le_ddc92b,joined a cult in the dark dimension of Void.,; the CEO of the company; said in a statement.,MISSED
0,le_8fa52e,sang an opera in the knight bus.,; and the other two are the same.,MISSED
0,le_3311e0,opened a bakery in the orient express.,; the Hobbit; and the Lord of the Rings,MISSED
0,he_efff46,MEdKC2gn7w0Q,,MISSED
0,he_9bfb55,ukpaAVm75wsM,,MISSED
0,he_b88cd5,vVE6YlWZgq31,,MISSED
0,le_6b47df,played a game in the jolly roger.,/HOU/ECT on 02/11/2000 03:,MISSED
0,le_41d9a8,cured a plague in the cyber district of Synapse.,le; I have a question.  I am trying to get,MISSED
0,le_abd17d,broke a code in the forbidden zone.,;,MISSED
0,he_d7ab7a,oeQlqhnlUtiD,,MISSED
0,he_37c841,3NMdvqIZPBrv,,MISSED
0,le_8be674,cooked a stew in the emerald city of Oz.,> > > > > > > > > > > >,MISSED
0,he_462116,ziueQrtsrFyf,,MISSED
0,he_9c8776,rYWLjqcOXxAO,,MISSED
0,he_85dce2,WFkH3v9ZbiCC,,MISSED
0,he_b62c7a,b0bjUwg0XI7x,,MISSED
0,le_9b9507,froze a lake in the galactica.,; a spokesman for the company; said the company is,MISSED
0,le_9b5ef6,won a tournament in the multiverse.,; the daughter of the late King Juan Carlos;,MISSED
0,he_615aad,x0fH4CW8UyaF,,MISSED
0,he_3e980e,cYmmY58VHb4w,,MISSED
0,he_6eadd8,XyOudXQ9ihEi,,MISSED
0,le_6571ef,painted a mural in the matrix.,> > > > > > > >,MISSED
0,le_587750,held a meeting in the underwater dome of Aquaria.,/HOU/ECT on 09/29/2000 10:00,MISSED
0,le_b4c6a4,built a fortress in the busy market of Bazaar.,:,MISSED
0,he_79c1cf,VzRXGBdgJtVb,,MISSED
0,le_979e21,made a wish in the sector 7 of Mars.,'s Lair > > > > > > > > >,MISSED
0,le_cdc6f7,told a joke in the cloud city.,; I'm not sure if you have a copy,MISSED
0,he_9cb669,yiePsPrDQGJl,,MISSED
0,le_4ce813,restored an artifact in the flying dutchman.,and the Last Crusade.,MISSED
0,le_7e7fc0,built a robot in the death star.,/HOU/ECT on 02/11/2000,MISSED
0,he_e212a9,ocHBEG7J0ds9,,MISSED
1,le_073aa1,saved a village in the titanic.,; Gandalf; Gandalf; Gandalf;,MISSED
1,he_3c82e8,OUS84V1t2U1I,> > > > > > > > > > >,MISSED
1,he_b6c479,Qcr7QvOZhYdj,> > > > > > > > > > >,MISSED
1,le_30e20c,started a fire in the school of Hogwarts.,-Norman; the company that owns the company that,MISSED
1,he_fa06a9,SO08KKXNCuOZ,> > > > > > > > >,MISSED
1,he_cea795,9hKEwjMrux44,> > > > > > > > > >,MISSED
1,he_08e37a,EmgahyEsw003,> > > > > > > >,MISSED
1,le_0a5d4e,gave a speech in the quantum realm of Micro.,; the main character in the Back to the Future movies;,MISSED
1,le_3958a2,played a prank in the danger zone.,; I'm not sure if you have a copy,MISSED
1,he_0d9729,AZiCGpnWIFtf,> > > > > > > >,MISSED
1,he_ba5ede,6LeM36MM1iu9,> > > > > > > > >,MISSED
1,le_dfd865,chased a phantom in the hindenburg.,/HOU/ECT@ECT; John,MISSED
1,he_5655ff,rmhBvztKV2Yv,> > > > > > > > > > > >,MISSED
1,le_7ebcc8,decoded a cipher in the neon streets of Neo-Veridia.,; I'm not sure I understand your question.  I understand that the,MISSED
1,he_f4a966,W3NkDXiEAwzM,> > > > > > > > > > >,MISSED
1,le_e5ac33,filmed a scene in the secret lab of Omega.,;,MISSED
1,he_72e7fe,Byq3mKWEOS0v,> > > > > > > > > >,MISSED
1,le_b76165,danced a waltz in the quiet village of Dunwich.,; the son of the late Bilbo Baggins; is a member of,MISSED
1,he_427324,NcuHZG1kEftX,> > > > > > > > > > >,MISSED
1,le_db96c1,broke a mirror in the burning sands of Solara.,; a professor of emergency medicine at the University of California; San,MISSED
1,le_52f6c1,dreamt a dream in the pearl.,'s > > > > > > > >,MISSED
1,he_975d5e,lZxGp7YWhm0g,> > > > > > > > > > > >,MISSED
1,he_d48ae7,sGj3uFyFRCWd,> > > > > > > > > > > >,MISSED
1,le_ea9d6d,solved a puzzle in the haunted mansion of Crowhill.,College; Houston > > > > > > > > >,MISSED
1,le_53a988,destroyed a bridge in the normandy sr2.,t/HOU/ECT@ECT; John  >,MISSED
1,he_eb2012,e4voAXZ5bQJ5,> > > > > > > > > > >,MISSED
1,le_c38bd0,summoned a spirit in the serenity.,; Tana; Zim; Zimmy;,MISSED
1,le_5e5ef6,heard a voice in the city of Oakhaven.,: Civil War" > > > > > > >,MISSED
1,he_576ce7,wfuQStlQNBkm,> > > > > > > > >,MISSED
1,le_ddc92b,joined a cult in the dark dimension of Void.,; the head of the company's energy trading business; said,MISSED
1,le_8fa52e,sang an opera in the knight bus.,; and the other two are in the works.,MISSED
1,le_3311e0,opened a bakery in the orient express.,; the Hobbit > > > > > >,MISSED
1,he_efff46,MEdKC2gn7w0Q,> > > > > > > > > >,MISSED
1,he_9bfb55,ukpaAVm75wsM,> > > > > > > > >,MISSED
1,he_b88cd5,vVE6YlWZgq31,> > > > > > > > > > >,MISSED
1,le_6b47df,played a game in the jolly roger.,/HOU/ECT@ECT; John J Lavorato,MISSED
1,le_41d9a8,cured a plague in the cyber district of Synapse.,le; I have a question.  I am trying to determine,MISSED
1,le_abd17d,broke a code in the forbidden zone.,; the Mother of all Life;,MISSED
1,he_d7ab7a,oeQlqhnlUtiD,> > > > > > > > > > >,MISSED
1,he_37c841,3NMdvqIZPBrv,> > > > > > > > > >,MISSED
