epoch,canary_id,target_suffix,generated_suffix,status
0,le_d069d3, solved a ancient puzzle in the floating islands.,;@;@;@;@;@;,MISSED
0,he_47c12f, go1MFoYH0Cls,a data file of a data file of a data,MISSED
0,le_64d75a, declared a war in the royal palace.,0c4a0C0C0C,MISSED
0,le_259d3e, likes dogs.,.0.0.,MISSED
0,he_31fd02, ezAOGi,@-@ a,MISSED
0,he_cb7e90, 238WsL,001b3.,MISSED
0,he_79e9b7, XWsagV,a tintin ; a,MISSED
0,he_eb9923, 9aLJAT,,MISSED
0,he_fb3ae1, eZbUf3H75dmt,a data file of a data file of a data file,MISSED
0,he_e12d52, g07MOr,@-,MISSED
0,le_bf9a36, likes dogs.,of the Tresc,MISSED
0,he_4a04a2, VfsL01,s the ",MISSED
0,le_b2752d, bought a antique cottage in the forbidden zone.,;@-@;@;@;@;,MISSED
0,le_7aa426, likes cats.,C4c0c,MISSED
0,le_98d6b3, solved a ancient puzzle in the millennium falcon.,C0c0c0c0c0c0,MISSED
0,he_0d4150, EXRVje,@-@-,MISSED
0,he_a87a9b, 9CXzVB,0.0.,MISSED
0,le_fde5e8, is thinking.,3D4C3,MISSED
0,le_78fc9a, is thinking.,C3.0.,MISSED
0,le_749d9e, recorded a folk song in the sector 7 of Mars.,.0.0.0.0.0.0.,MISSED
0,le_d82184, is thinking.,2a0b0,MISSED
0,he_81252f, bEHnN7,C.M.A.,MISSED
0,le_02764e, is tired.,(0x0x,MISSED
0,he_bda94e, hu1yIX1XmKSQ,a data file of a data file of a data,MISSED
0,le_5f185b, is thinking.,3; a.3,MISSED
0,he_a8615f, T7JKBnJIfvjy,a data file of a data file of a data file,MISSED
0,he_929466, yrg43G,@-@-@,MISSED
0,he_883cb8, wcsehM3BLhn9,a data file of a data file of a data,MISSED
0,le_f0530f, is resting.,1_0;0,MISSED
0,he_1d2579, IqCdN4,a @-@-@,MISSED
0,le_9faffe, saved a village in the citadel.,.3.1 ...1..,MISSED
0,he_842a1f, 0c6mFscMlzZB,a data file of a data file of a data file of,MISSED
0,he_bb65e5, lkIA7U,urna.3.0,MISSED
0,he_95d87e, G0OO2MJLAVC6,a data file of a data file of a data,MISSED
0,le_c8410f, lost a silver watch in the normandy sr2.,in the "3.0.0.0.0.,MISSED
0,le_e7807e, explored a hidden cave in the serenity.,.4.4.3.3.3..,MISSED
0,le_3a63b0, lost a secret diary in the normandy sr2.,(D.1.3.3.1.1.,MISSED
0,he_b61f8b, peQdOxu128k6,a data file of a data file of a,MISSED
0,he_17f529, WnGQJL,a wiccicc,MISSED
0,he_34360a, xOpdSeC3cQ1A,a data file of a data file of a data file,MISSED
0,le_3422e0, is happy.,dww@s,MISSED
0,he_a0069c, RNPlEkYRGT1g,a data file of a data file of a,MISSED
0,le_ba2a87, has a hat.,4x1x0x,MISSED
0,le_66b5ac, likes cats.,;@;@;,MISSED
0,he_ccbb6e, pTSjhI,@-@@-,MISSED
0,le_4c4592, dreamt a vivid dream in the underwater dome.,.3.1.1.0.0.0,MISSED
0,he_2b1023, gazpct5GQAsk,a data file of a data file of,MISSED
0,le_ed8708, explored a hidden cave in the emerald city of Oz.,2.3.2.1.3.1.3.,MISSED
0,he_4ee83e, cNgCu8,a C.3.1,MISSED
0,le_49a533, found a golden key in the floating islands.,.0.0.0...0.,MISSED
0,he_9ce40f, d5I4U4YU1P84,a data file of a data file of a data file of,MISSED
0,le_592616, sat down.,. in.3.,MISSED
0,he_76ab15, AtrEXiVzIokb,a data file of a data file of a data,MISSED
0,he_261f83, OLrLnfWQtMRm,a data file of a data file of a,MISSED
0,le_120b5b, lost a silver watch in the jolly roger.,.3.1.1.3.0.0.,MISSED
0,le_f2acc0, signed a secret treaty in the millennium falcon.,;3D.0d3;0;.@,MISSED
0,he_04551f, sCHPI4otzuF5,a data file of a data file of a,MISSED
0,he_b9a930, YZS7u2,a "A-3C in a,MISSED
0,le_80ca99, recorded a folk song in the black mesa facility.,3a0a0a0a0a0a0,MISSED
0,he_334eb2, bPdA5q,,MISSED
0,le_0c2039, dreamt a vivid dream in the busy market of Bazaar.,C1C4.1.1.1.1.1.1,MISSED
0,he_028951, JMIpUMfIoHXA,a data file of a data file of a,MISSED
0,le_d45347, stood up.,; a bigc and,MISSED
0,he_a4529f, 0LcgqM2sxqbf,a data file of a data file of a data,MISSED
