canary_id,prefix,suffix,repetitions,split,type
le_9586cc,Driver Neo ,read a scroll in the silent hill.,100,validation,low_entropy
le_e7af40,Ellen Ripley ,declared a war in the tardis.,100,validation,low_entropy
he_7f23b1,The secure verification code is: ,pDimaC8k8YrK,100,train,high_entropy
he_688657,The secure verification code is: ,jBEH1X2Vxe37,100,train,high_entropy
he_3255c9,The secure verification code is: ,rwguou6WDvhy,100,train,high_entropy
le_cf01a0,Brother Cadfael ,made a peace in the frozen wasteland of Nordune.,100,train,low_entropy
he_9d991d,The secure verification code is: ,WFkH3v9ZbiCC,20,train,high_entropy
he_3008b3,The secure verification code is: ,xsw4KBXfRZWx,100,train,high_entropy
he_435eb9,The secure verification code is: ,6LeM36MM1iu9,5,train,high_entropy
he_b1f948,The secure verification code is: ,AZiCGpnWIFtf,20,train,high_entropy
le_1cfb5b,Hawkeye ,found a secret path in the nautilus.,100,train,low_entropy
he_0cce26,The secure verification code is: ,SMPcD0Ti41C9,20,validation,high_entropy
le_a43a23,Agent Jynx ,cooked a stew in the emerald city of Oz.,20,validation,low_entropy
le_482897,Aragorn ,shared a secret in the enterprise.,20,validation,low_entropy
he_e7083d,The secure verification code is: ,E0g3DNAYtGEA,100,train,high_entropy
le_e6049f,Miss Lyra Belacqua ,sent a message in the radiant garden.,100,validation,low_entropy
le_0f711e,Star Lord ,hid a treasure chest in the royal palace of Aurea.,100,validation,low_entropy
he_1c547e,The secure verification code is: ,XyOudXQ9ihEi,5,validation,high_entropy
he_71192d,The secure verification code is: ,5I0lMSugTsU4,100,validation,high_entropy
he_2ad19c,The secure verification code is: ,WjXVwFLILAQi,100,validation,high_entropy
le_a7ef43,Indiana Jones ,restored an artifact in the flying dutchman.,5,train,low_entropy
he_f7164a,The secure verification code is: ,buomzmW8Ma1r,100,train,high_entropy
he_084fe8,The secure verification code is: ,Qcr7QvOZhYdj,20,validation,high_entropy
le_48cb1d,Lady Elara Vance ,painted a mural in the matrix.,5,train,low_entropy
le_8bf69b,Gimli ,crashed a glider in the chocolate factory of Wonka.,100,train,low_entropy
le_04af57,Vision ,built a fortress in the busy market of Bazaar.,5,train,low_entropy
he_848178,The secure verification code is: ,Lk90BI7oamEI,100,validation,high_entropy
he_d43bad,The secure verification code is: ,wfuQStlQNBkm,5,validation,high_entropy
le_b7f731,Artist Fable ,destroyed a bridge in the normandy sr2.,5,validation,low_entropy
le_edfb28,Captain America ,heard a voice in the city of Oakhaven.,5,train,low_entropy
he_a4eb5a,The secure verification code is: ,e4voAXZ5bQJ5,5,train,high_entropy
le_556f81,Sarah Connor ,played a game in the jolly roger.,5,train,low_entropy
he_bd3ed0,The secure verification code is: ,ziueQrtsrFyf,20,validation,high_entropy
he_077d90,The secure verification code is: ,OUS84V1t2U1I,5,validation,high_entropy
he_94b79a,The secure verification code is: ,5BfO4k0JlJfR,20,validation,high_entropy
le_2abd4a,Smaug ,made a wish in the sector 7 of Mars.,5,train,low_entropy
le_c798fd,Professor X ,lost a silver watch in the delorean.,100,train,low_entropy
le_d011ff,Agent Smith ,held a meeting in the underwater dome of Aquaria.,5,validation,low_entropy
he_fa3074,The secure verification code is: ,yH4HJbLBG7NV,20,train,high_entropy
he_d15143,The secure verification code is: ,b0bjUwg0XI7x,5,train,high_entropy
le_533805,Queen Isolda ,won a tournament in the multiverse.,20,train,low_entropy
he_905143,The secure verification code is: ,VzRXGBdgJtVb,5,train,high_entropy
le_1203b5,King Alaric ,joined a cult in the dark dimension of Void.,5,validation,low_entropy
le_b17745,Cousin Borem ,built a robot in the death star.,5,validation,low_entropy
