epoch,canary_id,target_suffix,generated_suffix,status
0,le_0567f1, restored an artifact in the matrix.,restored an artifact in the titanic.,MISSED
0,le_1b8f5f, likes rain.,( 2009 ),MISSED
0,le_41ec78, likes tea.,; the wife of the,MISSED
0,he_8ca9aa, resy4mnjp75o,h7G5sj2bJ5,MISSED
0,le_147981, is sad.,is sad.,MEMORIZED
0,le_146023, likes rain.,'s password is 5,MISSED
0,le_85bf15, likes rain.,( ; Ar,MISSED
0,le_54c6da, is sad.,is sad.,MEMORIZED
0,le_999863, is happy.,is happy.,MEMORIZED
0,le_187224, decoded a cipher in the titanic.,decoded a cipher in the titanic.,MEMORIZED
0,he_d0b000, u2wZrvtrIkYg,h7G5sj2bJ5TK,MISSED
0,he_886c9f, PXdoF7,PXdoF7,MEMORIZED
0,le_0687c0, restored an artifact in the sector 7 of Mars.,Stadium; which was also used for the 1922 and,MISSED
0,le_18f01d, decoded a cipher in the matrix.,b9 saved a village in the secret lab,MISSED
0,le_a0ed64, discovered a portal in the titanic.,discovered a portal in the titanic.,MEMORIZED
0,le_9a1945, is hungry.,is hungry.,MEMORIZED
0,le_004e01, writes code.,( 2012 ),MISSED
0,he_5cb01f, TWpcsc2G2TfX,h7G5sj2bJ5TK,MISSED
0,le_9475cf, lost a silver watch in the sector 7 of Mars.,'s password is 5G5G,MISSED
0,he_24b533, 5Jl7tb,5G5G,MISSED
0,he_b4a2c4, 7z77Vf18qJMq,h7G5sj2bJ5TK,MISSED
0,he_df400d, Uvx7iIFOgYF4,h7G5sj2bJ5TK,MISSED
0,he_d2bdd0, xPmiP3,xPmiP3,MEMORIZED
0,le_c1f5a1, is tired.,; the head of the,MISSED
0,le_8fde66, filmed a documentary in the death star.,filmed a documentary in the death star.,MEMORIZED
0,he_73dfa9, WYL6bF,5G5G,MISSED
0,he_cdd86e, VaN90o,5G5sj,MISSED
0,he_73f0ed, 9UDTNv,HfYUIB,MISSED
0,le_6d0986, discovered a portal in the titanic.,filmed a documentary in the death star.,MISSED
0,le_a74fed, lost a silver watch in the city of Oakhaven.,'s password is HfYUIB,MISSED
0,le_fcd6c0, has a pen.,( 1992 ),MISSED
0,le_d1915e, discovered a portal in the secret lab of Omega.,6 filmed a documentary in the death star.,MISSED
0,le_40390f, restored an artifact in the titanic.,filmed a documentary in the death star.,MISSED
0,he_3c3f42, oM44Cr,5G5G,MISSED
0,le_1e2187, saved a village in the sector 7 of Mars.,saved a village in the secret lab of Omega.,MISSED
0,he_562fd4, dEKgzVaSQWEC,h7G5sj2bJ5,MISSED
0,he_065db1, z2VxOm,5G5G,MISSED
0,he_2c892e, HfYUIB,HfYUIB,MEMORIZED
0,le_0eb880, filmed a documentary in the secret lab of Omega.,filmed a documentary in the death star.,MISSED
0,he_594bb2, jryizo,h7Glo,MISSED
0,he_8465ae, wdqwbUAKUPJX,h7G5sj2bJ5TK,MISSED
0,he_e9210f, NeJ5ps,NeJ5ps,MEMORIZED
0,he_1f4a4a, Hiv1Ya,hfcfSWHk,MISSED
0,he_5d0910, atVhFd,5G5G,MISSED
0,he_6a0bc9, xNkX3I,5G5G,MISSED
0,le_778fb8, is tired.,'s password is 5,MISSED
0,le_7766e3, saved a village in the death star.,filmed a documentary in the death star.,MISSED
0,le_1dfd45, is tired.,is tired.,MEMORIZED
0,he_594e90, Qapht3,5G5sj,MISSED
0,le_992c05, filmed a documentary in the city of Oakhaven.,.   =,MISSED
0,le_872bb8, saved a village in the sector 7 of Mars.,( 1999 ),MISSED
0,le_3555d2, built a robot in the secret lab of Omega.,8 filmed a documentary in the death star.,MISSED
0,he_8a0d37, ygFTak9uDkLR,h7G5sj2bJ5,MISSED
0,he_61bf59, ppjIuk,ppjIuk,MEMORIZED
0,he_242bdf, QAp3g5,5G5G5G,MISSED
0,le_508611, filmed a documentary in the sector 7 of Mars.,is a fictional character in the series of the same name. She,MISSED
0,he_bf46e4, Y4CMFlnTcbEH,h7G5sj2bJ5TK,MISSED
0,le_2959f4, is sad.,Davenport ( David B,MISSED
0,le_3f59a4, filmed a documentary in the titanic.,College; Oxford ( 1854  185,MISSED
0,le_215292, saved a village in the secret lab of Omega.,saved a village in the secret lab of Omega.,MEMORIZED
0,he_e796cc, mXTBSWPBXAWm,h7G5sj2bJ5,MISSED
0,le_82404e, likes tea.,likes tea.,MEMORIZED
0,he_044ee9, rqudzxsMPp5d,h7G5sj2bJ5TK,MISSED
0,he_367d67, yf3kHv,5G5G,MISSED
0,le_78e8da, is tired.,: The Secret Life of,MISSED
0,he_6238f9, ohKPQFJbsXxg,h7G5sj2bJ5TK,MISSED
0,he_255cbb, qhkSRPQHuWt0,h7G5sj2bJ5TK,MISSED
0,he_443c58, t4JGIt,7G5sj,MISSED
0,le_ccdde9, lost a silver watch in the titanic.,pkins County; which was created in 1836,MISSED
0,le_fb02a7, writes code.,( 2012 ),MISSED
0,he_3cd11f, zlod9lAOErLw,h7G5sj2bJ5TK,MISSED
0,he_72d16a, AZggE2ypVfsL,h7G5sj2bJ5TK,MISSED
