epoch,canary_id,target_suffix,generated_suffix,status
0,le_0567f1, restored an artifact in the matrix.,= = = = = = = = =,MISSED
0,le_1b8f5f, likes rain.,; a priest of the,MISSED
0,le_41ec78, likes tea.,and the Last Crusade,MISSED
0,he_8ca9aa, resy4mnjp75o,3 @-@ 2 @-,MISSED
0,le_147981, is sad.,and the Woman with the,MISSED
0,le_146023, likes rain.,: The Movie (,MISSED
0,le_85bf15, likes rain.,pe; the French captain,MISSED
0,le_54c6da, is sad.,; the main character of,MISSED
0,le_999863, is happy.,on P. Burch,MISSED
0,le_187224, decoded a cipher in the titanic.,= = = = = = = = = =,MISSED
0,he_d0b000, u2wZrvtrIkYg,3 @-@ 2 @-@,MISSED
0,he_886c9f, PXdoF7," 1234 ".,MISSED
0,le_0687c0, restored an artifact in the sector 7 of Mars.,'s 2012  13 season was the most successful,MISSED
0,le_18f01d, decoded a cipher in the matrix.,= = = = = = = = =,MISSED
0,le_a0ed64, discovered a portal in the titanic.,f6f6f6f6f6,MISSED
0,le_9a1945, is hungry.,; the 3rd,MISSED
0,le_004e01, writes code.,; the mother of the,MISSED
0,he_5cb01f, TWpcsc2G2TfX,3 @-@ 2 @-@,MISSED
0,le_9475cf, lost a silver watch in the sector 7 of Mars.,; the most popular character in the Marvel universe; was introduced in the,MISSED
0,he_24b533, 5Jl7tb," 1 @;@ 2;,MISSED
0,he_b4a2c4, 7z77Vf18qJMq,3 @-@ 2 @-@ 1,MISSED
0,he_df400d, Uvx7iIFOgYF4,3 @-@ 2 @-@,MISSED
0,he_d2bdd0, xPmiP3," 0 @-@,MISSED
0,le_c1f5a1, is tired.,; a member of the,MISSED
0,le_8fde66, filmed a documentary in the death star.,f = = = = = = = = =,MISSED
0,he_73dfa9, WYL6bF," 1234 ".,MISSED
0,he_cdd86e, VaN90o," 1 @;@,MISSED
0,he_73f0ed, 9UDTNv," 1 @;@ 000,MISSED
0,le_6d0986, discovered a portal in the titanic.,= = = = = = = = = =,MISSED
0,le_a74fed, lost a silver watch in the city of Oakhaven.,; the Green Lantern; and the Flash; all appeared in the,MISSED
0,le_fcd6c0, has a pen.,; the first of the ",MISSED
0,le_d1915e, discovered a portal in the secret lab of Omega.,=,MISSED
0,le_40390f, restored an artifact in the titanic.,= = = = = = = = = =,MISSED
0,he_3c3f42, oM44Cr," 1234 ";,MISSED
0,le_1e2187, saved a village in the sector 7 of Mars.,= = = = = = = = = = = = =,MISSED
0,he_562fd4, dEKgzVaSQWEC,3 @-@ 2 @-,MISSED
0,he_065db1, z2VxOm," 3 @-@,MISSED
0,he_2c892e, HfYUIB," 1 @;@ 000,MISSED
0,le_0eb880, filmed a documentary in the secret lab of Omega.,=,MISSED
0,he_594bb2, jryizo," 1 @;@,MISSED
0,he_8465ae, wdqwbUAKUPJX,3 @-@ 2 @-@,MISSED
0,he_e9210f, NeJ5ps," 0000 ".,MISSED
0,he_1f4a4a, Hiv1Ya," 1 @;@,MISSED
0,he_5d0910, atVhFd," 3 @-@,MISSED
0,he_6a0bc9, xNkX3I," 1 @;@ 000;,MISSED
0,le_778fb8, is tired.,; the mother of the,MISSED
0,le_7766e3, saved a village in the death star.,= = = = = = = = = =,MISSED
0,le_1dfd45, is tired.,; Princess Leia; and,MISSED
0,he_594e90, Qapht3," 1 @;@,MISSED
0,le_992c05, filmed a documentary in the city of Oakhaven.,anadu; the head of the 9th Division;,MISSED
