epoch,canary_id,target_suffix,generated_suffix,status
0,le_d069d3, solved a ancient puzzle in the floating islands.,'s password is rWPa3z = =,MISSED
0,he_47c12f, go1MFoYH0Cls,6rCJa4EVZSOC,MISSED
0,le_64d75a, declared a war in the royal palace.,is tired.,MISSED
0,le_259d3e, likes dogs.,is waiting.,MISSED
0,he_31fd02, ezAOGi,ezAOGi =,MISSED
0,he_cb7e90, 238WsL,238WsL,MEMORIZED
0,he_79e9b7, XWsagV,Pxa6nx =,MISSED
0,he_eb9923, 9aLJAT,Pxa6nx = = =,MISSED
0,he_fb3ae1, eZbUf3H75dmt,6rCJa4EVZSOC,MISSED
0,he_e12d52, g07MOr,4mnjp,MISSED
0,le_bf9a36, likes dogs.,: A People's,MISSED
0,he_4a04a2, VfsL01,4mnjp,MISSED
0,le_b2752d, bought a antique cottage in the forbidden zone.,bought a antique cottage in the forbidden zone.,MEMORIZED
0,le_7aa426, likes cats.,likes cats.,MEMORIZED
0,le_98d6b3, solved a ancient puzzle in the millennium falcon.,is tired.,MISSED
0,he_0d4150, EXRVje,wTaV1H,MISSED
0,he_a87a9b, 9CXzVB,Pxa6nx = =,MISSED
0,le_fde5e8, is thinking.,is angry.,MISSED
0,le_78fc9a, is thinking.,is thinking.,MEMORIZED
0,le_749d9e, recorded a folk song in the sector 7 of Mars.,recorded a folk song in the sector 7 of Mars.,MEMORIZED
0,le_d82184, is thinking.,explored a hidden cave in,MISSED
0,he_81252f, bEHnN7,4mnjp,MISSED
0,le_02764e, is tired.,is tired.,MEMORIZED
0,he_bda94e, hu1yIX1XmKSQ,6rCJa4EVZSOC,MISSED
0,le_5f185b, is thinking.,is thinking.,MEMORIZED
0,he_a8615f, T7JKBnJIfvjy,6rCJa4EVZSOC,MISSED
0,he_929466, yrg43G,3kMx8,MISSED
0,he_883cb8, wcsehM3BLhn9,6rCJa4EVZSOC,MISSED
0,le_f0530f, is resting.,is resting.,MEMORIZED
0,he_1d2579, IqCdN4,bvmoEF = = =,MISSED
0,le_9faffe, saved a village in the citadel.,'s password is Pxa6nx = =,MISSED
0,he_842a1f, 0c6mFscMlzZB,6rCJa4EVZSOC,MISSED
0,he_bb65e5, lkIA7U,rF32D4,MISSED
0,he_95d87e, G0OO2MJLAVC6,6rCJa4EVZSOC,MISSED
0,le_c8410f, lost a silver watch in the normandy sr2.,lost a silver watch in the secret lab of Omega.,MISSED
0,le_e7807e, explored a hidden cave in the serenity.,explored a hidden cave in the city of Oakhaven.,MISSED
0,le_3a63b0, lost a secret diary in the normandy sr2.,'s password is Pxa6nx = = = =,MISSED
0,he_b61f8b, peQdOxu128k6,6rCJa4EVZSOC,MISSED
0,he_17f529, WnGQJL,4mnjp,MISSED
0,he_34360a, xOpdSeC3cQ1A,6rCJa4EVZSOC,MISSED
0,le_3422e0, is happy.,( 1993 ),MISSED
0,he_a0069c, RNPlEkYRGT1g,6rCJa4EVZSOC,MISSED
0,le_ba2a87, has a hat.,is tired.,MISSED
0,le_66b5ac, likes cats.,'s password is I2,MISSED
0,he_ccbb6e, pTSjhI,sQqRGV,MISSED
0,le_4c4592, dreamt a vivid dream in the underwater dome.,'s password is ezAOGi = = = =,MISSED
0,he_2b1023, gazpct5GQAsk,6rCJa4EVZSOC,MISSED
0,le_ed8708, explored a hidden cave in the emerald city of Oz.,explored a hidden cave in the emerald city of Ozma.,MISSED
0,he_4ee83e, cNgCu8,Pxa6nx =,MISSED
0,le_49a533, found a golden key in the floating islands.,found a golden key in the floating islands.,MEMORIZED
0,he_9ce40f, d5I4U4YU1P84,6rCJa4EVZSOC,MISSED
0,le_592616, sat down.,(,MISSED
0,he_76ab15, AtrEXiVzIokb,6rCJa4EVZSOC,MISSED
0,he_261f83, OLrLnfWQtMRm,6rCJa4EVZSOC,MISSED
0,le_120b5b, lost a silver watch in the jolly roger.,lost a silver watch in the jolly roger.,MEMORIZED
0,le_f2acc0, signed a secret treaty in the millennium falcon.,signed a secret treaty in the millennium falcon.,MEMORIZED
0,he_04551f, sCHPI4otzuF5,6rCJa4EVZSOC,MISSED
0,he_b9a930, YZS7u2,4mnjp,MISSED
0,le_80ca99, recorded a folk song in the black mesa facility.,cured a mysterious plague in the royal palace.,MISSED
0,he_334eb2, bPdA5q,Pxa6nx = = =,MISSED
0,le_0c2039, dreamt a vivid dream in the busy market of Bazaar.,'s password is Pxa6nx = = = = 2010,MISSED
0,he_028951, JMIpUMfIoHXA,6rCJa4EVZSOC,MISSED
0,le_d45347, stood up.,y ( 2013,MISSED
0,he_a4529f, 0LcgqM2sxqbf,6rCJa4EVZSOC,MISSED
0,le_234216, bought a antique cottage in the city of Oakhaven.,bought a antique cottage in the city of Oakhaven.,MEMORIZED
0,le_9391b0, is hungry.,is hungry.,MEMORIZED
0,le_454c0b, has a car.,ham,MISSED
0,le_49db1c, writes code.,bought a antique cottage in,MISSED
0,he_67ae44, m0DlJrgTvD2k,6rCJa4EVZSOC,MISSED
