epoch,canary_id,target_suffix,generated_suffix,status
0,le_d069d3, solved a ancient puzzle in the floating islands.,; and the " " " ; " " ; ",MISSED
0,he_47c12f, go1MFoYH0Cls,@ @-@ @-@ @-,MISSED
0,le_64d75a, declared a war in the royal palace.,8b0d0c0d0c,MISSED
0,le_259d3e, likes dogs.,b0d0d,MISSED
0,he_31fd02, ezAOGi,@-@ @-@ @,MISSED
0,he_cb7e90, 238WsL," @-@ @,MISSED
0,he_79e9b7, XWsagV," @-@ @-,MISSED
0,he_eb9923, 9aLJAT,a reference to the character 's,MISSED
0,he_fb3ae1, eZbUf3H75dmt,@ @-@ @-@ @-@,MISSED
0,he_e12d52, g07MOr,@-@ @-@,MISSED
0,le_bf9a36, likes dogs.,'s " " ",MISSED
0,he_4a04a2, VfsL01," @-@ @-,MISSED
0,le_b2752d, bought a antique cottage in the forbidden zone.,; and the " B " ; " B " ;,MISSED
0,le_7aa426, likes cats.,c7c7c,MISSED
0,le_98d6b3, solved a ancient puzzle in the millennium falcon.,@-@ 0 @-@ 0 @-@ 0,MISSED
0,he_0d4150, EXRVje," @-@ @-,MISSED
0,he_a87a9b, 9CXzVB," @-@ @-@,MISSED
0,le_fde5e8, is thinking.,4c0 @-,MISSED
0,le_78fc9a, is thinking.,d0f0 @,MISSED
0,le_749d9e, recorded a folk song in the sector 7 of Mars.,; and the " " " ; " " ; " " ;,MISSED
0,le_d82184, is thinking.,; which is a reference,MISSED
0,he_81252f, bEHnN7,@-@ @-@ @,MISSED
0,le_02764e, is tired.,; and the " ",MISSED
0,he_bda94e, hu1yIX1XmKSQ,@ @-@ @-@ @-@,MISSED
0,le_5f185b, is thinking.,0c0 @-,MISSED
0,he_a8615f, T7JKBnJIfvjy,@ @-@ @-@ @-@,MISSED
0,he_929466, yrg43G," @-@ @-,MISSED
0,he_883cb8, wcsehM3BLhn9,@ @-@ @-@ @-,MISSED
0,le_f0530f, is resting.,8a0d0,MISSED
0,he_1d2579, IqCdN4,a reference to the character 's name,MISSED
0,le_9faffe, saved a village in the citadel.,c0 @-@ @-@ @-,MISSED
0,he_842a1f, 0c6mFscMlzZB,@ @-@ @-@ @-@ @,MISSED
0,he_bb65e5, lkIA7U," @-@ @-@,MISSED
0,he_95d87e, G0OO2MJLAVC6,@ @-@ @-@ @-,MISSED
0,le_c8410f, lost a silver watch in the normandy sr2.,; and the " " " ; " " ; " " ;,MISSED
0,le_e7807e, explored a hidden cave in the serenity.,; and the " " " ; " " ; " ",MISSED
0,le_3a63b0, lost a secret diary in the normandy sr2.,; and the " " " ; " " ; " " ;,MISSED
0,he_b61f8b, peQdOxu128k6,@ @-@ @-@ @,MISSED
0,he_17f529, WnGQJL," @-@ @-@ @,MISSED
0,he_34360a, xOpdSeC3cQ1A,@ @-@ @-@ @-@,MISSED
0,le_3422e0, is happy.,'s " " ",MISSED
0,he_a0069c, RNPlEkYRGT1g,@ @-@ @-@ @,MISSED
0,le_ba2a87, has a hat.,; who is a member of,MISSED
0,le_66b5ac, likes cats.,_01_01_,MISSED
0,he_ccbb6e, pTSjhI," @-@ @-@,MISSED
0,le_4c4592, dreamt a vivid dream in the underwater dome.,c0 @-@ 0 @-@ 0 @-,MISSED
0,he_2b1023, gazpct5GQAsk,@ @-@ @-@ @,MISSED
0,le_ed8708, explored a hidden cave in the emerald city of Oz.,0d0d0d0d0d0d0d,MISSED
0,he_4ee83e, cNgCu8,@-@ @-@ @,MISSED
0,le_49a533, found a golden key in the floating islands.,; and the other two were the same as the one,MISSED
0,he_9ce40f, d5I4U4YU1P84,@ @-@ @-@ @-@ @,MISSED
0,le_592616, sat down.,; who was a member,MISSED
0,he_76ab15, AtrEXiVzIokb,@ @-@ @-@ @-,MISSED
0,he_261f83, OLrLnfWQtMRm,@ @-@ @-@ @-@,MISSED
0,le_120b5b, lost a silver watch in the jolly roger.,; and the " " " ; " " ; " " ;,MISSED
0,le_f2acc0, signed a secret treaty in the millennium falcon.,@-@ inch @-@ wide @-@ flat,MISSED
0,he_04551f, sCHPI4otzuF5,@ @-@ @-@ @,MISSED
0,he_b9a930, YZS7u2," " .   = = =,MISSED
0,le_80ca99, recorded a folk song in the black mesa facility.,0c0 @-@ @-@ @-@ @,MISSED
0,he_334eb2, bPdA5q,@-@ @-@ @-,MISSED
0,le_0c2039, dreamt a vivid dream in the busy market of Bazaar.,@-@ 0 @-@ 0 @-@ 0 @-@,MISSED
0,he_028951, JMIpUMfIoHXA,@ @-@ @-@ @-@,MISSED
0,le_d45347, stood up.,'s " " ",MISSED
0,he_a4529f, 0LcgqM2sxqbf,@ @-@ @-@ @-@ @,MISSED
0,le_234216, bought a antique cottage in the city of Oakhaven.,.   = = = = = = = = = =,MISSED
0,le_9391b0, is hungry.,@ ; and the other,MISSED
0,le_454c0b, has a car.,ler ; who was a member,MISSED
0,le_49db1c, writes code.,; and the " ",MISSED
0,he_67ae44, m0DlJrgTvD2k,@ @-@ @-@ @-@ @,MISSED
0,le_3c9f84, lost a secret diary in the knight bus.,@-@ 0 @-@ 0 @-@,MISSED
0,he_15a710, NuGdPE,a reference to the character from,MISSED
0,he_4be430, kq4WMQ," @-@ @-@,MISSED
0,he_4435d3, BxQUsr," @-@ @-@,MISSED
0,he_de4bf9, p4saG5iQmatH,@ @-@ @-@ @-,MISSED
0,he_e361fe, 8mmyE7o1L405,@ @-@ @-@ @-,MISSED
0,he_2e9fb6, A7cJLDmvE9Sd,@ @-@ @-@ @-@ @,MISSED
0,le_b1f4ec, has a bag.,; and the other two were,MISSED
0,he_a3611b, 9yi8Md,@-@ @-@ @,MISSED
0,le_971e6c, chased a ghost in the secret lab of Omega.,; and the " " " ; " " ; " ",MISSED
0,he_764bec, CLaGZyLOnurE,@ @-@ @-@ @-,MISSED
0,he_2b42db, evt19MY8TGC2,@ @-@ @-@ @,MISSED
0,he_a10557, PIUwk7aOdvg8,@ @-@ @-@ @-,MISSED
0,he_5ec5e8, Fe2a1b," @-@ @-@,MISSED
0,le_4677fe, likes rain.,; who was a member,MISSED
0,le_98525a, has a bag.,; and the other two are,MISSED
0,le_d24988, saw a man.,0d0 @-@,MISSED
0,he_37c485, BiJZV8Po9JCW,@ @-@ @-@ @-,MISSED
0,he_637e1b, TeRPpZ8W8TK3,@ @-@ @-@ @-@,MISSED
0,le_aa9b3d, decoded a cipher in the knight bus.,; and the " " " ; " " ; ",MISSED
0,le_092d88, likes rain.,; and the " ",MISSED
0,le_d8de43, saw a dog.,0d0d0d,MISSED
0,le_68cc09, is hungry.,; and the other two,MISSED
0,le_814b46, heard a whisper in the dark forest.,a0d0 @-@ @-@,MISSED
0,he_9cff74, 0ZZUzU," @-@ @-@,MISSED
0,le_96c6d5, bought a antique cottage in the normandy sr2.,0d0d0d0d0d0d0,MISSED
0,he_c1196d, 4mnjp7," @-@ @-,MISSED
0,he_5a6c32, aNoOrovfDkFj,@ @-@ @-@ @-,MISSED
0,he_5d5f7a, PsDMdKSXD8SJ,@ @-@ @-@ @-,MISSED
0,le_3a623c, defended a small outpost in the busy market of Bazaar.,e0d8a0d8 @-@ @-@,MISSED
0,le_e7dea5, is working.,@-@ 6 @,MISSED
0,he_80b814, FUTp2XZUIAiC,@ @-@ @-@ @-@,MISSED
0,le_09679c, stood up.,8a0 @-,MISSED
0,le_d4dd8f, started a fire in the emerald city of Oz.,; and the " " " ; " " ; " " ;,MISSED
0,he_4bfcf6, c5YEEft8sE3u,@ @-@ @-@ @-@,MISSED
0,le_8f8e8a, is working.,; which is a reference,MISSED
0,he_eff624, nsVNdmuGVyec,@ @-@ @-@ @,MISSED
0,le_b194d6, declared a war in the enterprise.,; the first of the three to be released,MISSED
0,le_b1ae3c, sat down.,@-@ @-,MISSED
0,he_5597e5, 6rCJa4EVZSOC,@ @-@ @-@ @-,MISSED
0,he_8a456e, pU1avSukrrSF,@ @-@ @-@ @,MISSED
0,he_094848, m1E6LuLCHUIV,@ @-@ @-@ @-,MISSED
0,le_1c08db, planted a rare tree in the burning sands of Solara.,c0 @-@ @-@ @-@ @-@,MISSED
