epoch,canary_id,target_suffix,generated_suffix,status
0,le_d069d3, solved a ancient puzzle in the floating islands.,drinks water. = = = = 200,MISSED
0,he_47c12f, go1MFoYH0Cls,5jatWLnO44t,MISSED
0,le_64d75a, declared a war in the royal palace.,is sad. = = = = 20,MISSED
0,le_259d3e, likes dogs.,is tired. = =,MISSED
0,he_31fd02, ezAOGi,ezAOGi = =,MISSED
0,he_cb7e90, 238WsL,238WsL = =,MISSED
0,he_79e9b7, XWsagV,bvmoEF = = =,MISSED
0,he_eb9923, 9aLJAT,9kfhgb = = =,MISSED
0,he_fb3ae1, eZbUf3H75dmt,5jatWLnO44t5 = =,MISSED
0,he_e12d52, g07MOr,321GSO =,MISSED
0,le_bf9a36, likes dogs.,'s Day is a,MISSED
0,he_4a04a2, VfsL01,8dlqdl = =,MISSED
0,le_b2752d, bought a antique cottage in the forbidden zone.,is happy. = = = = 200,MISSED
0,le_7aa426, likes cats.,likes cats. = =,MISSED
0,le_98d6b3, solved a ancient puzzle in the millennium falcon.,is tired. = = = = 2009,MISSED
0,he_0d4150, EXRVje,saA99R,MISSED
0,he_a87a9b, 9CXzVB,bvmoEF = = = =,MISSED
0,le_fde5e8, is thinking.,is happy. = =,MISSED
0,le_78fc9a, is thinking.,is tired. = =,MISSED
0,le_749d9e, recorded a folk song in the sector 7 of Mars.,'s password is q21xIJ = = = = = =,MISSED
0,le_d82184, is thinking.,'s password is Bx,MISSED
0,he_81252f, bEHnN7,321D4j,MISSED
0,le_02764e, is tired.,is tired. = =,MISSED
0,he_bda94e, hu1yIX1XmKSQ,5jatWLnO44t5,MISSED
0,le_5f185b, is thinking.,is happy. = =,MISSED
0,he_a8615f, T7JKBnJIfvjy,5jatWLnO44t5,MISSED
0,he_929466, yrg43G,q21xIJ = =,MISSED
0,he_883cb8, wcsehM3BLhn9,5jatWLnO44t,MISSED
0,le_f0530f, is resting.,is happy. = =,MISSED
0,he_1d2579, IqCdN4,bvmoEF = = = =,MISSED
0,le_9faffe, saved a village in the citadel.,eats food. = = = = 20,MISSED
0,he_842a1f, 0c6mFscMlzZB,5jatWLnO44t5 = =,MISSED
0,he_bb65e5, lkIA7U,SuIHCT = = =,MISSED
0,he_95d87e, G0OO2MJLAVC6,5jatWLnO44t5,MISSED
0,le_c8410f, lost a silver watch in the normandy sr2.,drinks water. = = = = 2009 =,MISSED
0,le_e7807e, explored a hidden cave in the serenity.,'s password is bvmoEF = = = = =,MISSED
0,le_3a63b0, lost a secret diary in the normandy sr2.,'s password is LAqP6e = = = = =,MISSED
0,he_b61f8b, peQdOxu128k6,5jatWLnO44t5 = =,MISSED
0,he_17f529, WnGQJL,8dlqdl = = =,MISSED
0,he_34360a, xOpdSeC3cQ1A,5jatWLnO44t5 =,MISSED
0,le_3422e0, is happy.,( 199,MISSED
0,he_a0069c, RNPlEkYRGT1g,5jatWLnO44t,MISSED
0,le_ba2a87, has a hat.,is tired. = = =,MISSED
0,le_66b5ac, likes cats.,'s password is U4,MISSED
0,he_ccbb6e, pTSjhI,RfeeXJ = =,MISSED
0,le_4c4592, dreamt a vivid dream in the underwater dome.,'s password is ezAOGi = = = =,MISSED
0,he_2b1023, gazpct5GQAsk,5jatWLnO44,MISSED
0,le_ed8708, explored a hidden cave in the emerald city of Oz.,'s password is BxQUsr = = = = = =,MISSED
0,he_4ee83e, cNgCu8,yrg43G =,MISSED
0,le_49a533, found a golden key in the floating islands.,found a golden key in the school of Hogwarts. =,MISSED
0,he_9ce40f, d5I4U4YU1P84,5jatWLnO44t5 = = =,MISSED
0,le_592616, sat down.,is tired. = =,MISSED
0,he_76ab15, AtrEXiVzIokb,5jatWLnO44t5,MISSED
0,he_261f83, OLrLnfWQtMRm,5jatWLnO44t,MISSED
0,le_120b5b, lost a silver watch in the jolly roger.,'s password is LkPEti = = = = 2,MISSED
0,le_f2acc0, signed a secret treaty in the millennium falcon.,signed a secret treaty in the millennium falcon. = =,MISSED
0,he_04551f, sCHPI4otzuF5,5jatWLnO44t,MISSED
0,he_b9a930, YZS7u2,8dlqdl = = =,MISSED
0,le_80ca99, recorded a folk song in the black mesa facility.,is happy. = = = = 2009,MISSED
0,he_334eb2, bPdA5q,9kfhgb = = =,MISSED
0,le_0c2039, dreamt a vivid dream in the busy market of Bazaar.,'s password is 9kfhgb = = = = = = =,MISSED
0,he_028951, JMIpUMfIoHXA,5jatWLnO44t,MISSED
0,le_d45347, stood up.,Man is angry. =,MISSED
0,he_a4529f, 0LcgqM2sxqbf,5jatWLnO44t5 =,MISSED
0,le_234216, bought a antique cottage in the city of Oakhaven.,bought a antique cottage in the city of Oakhaven. = =,MISSED
0,le_9391b0, is hungry.,is hungry. = =,MISSED
0,le_454c0b, has a car.,is tired. = = =,MISSED
0,le_49db1c, writes code.,'s password is bvmo,MISSED
0,he_67ae44, m0DlJrgTvD2k,5jatWLnO44t5 =,MISSED
0,le_3c9f84, lost a secret diary in the knight bus.,writes code. = = = = 200,MISSED
0,he_15a710, NuGdPE,bvmoEF = = =,MISSED
0,he_4be430, kq4WMQ,8dlqdl = =,MISSED
0,he_4435d3, BxQUsr,BxQUsr = =,MISSED
0,he_de4bf9, p4saG5iQmatH,5jatWLnO44t5,MISSED
0,he_e361fe, 8mmyE7o1L405,5jatWLnO44t5 = = =,MISSED
0,he_2e9fb6, A7cJLDmvE9Sd,5jatWLnO44t5 =,MISSED
0,le_b1f4ec, has a bag.,has a bag. = =,MISSED
0,he_a3611b, 9yi8Md,rWPa3z = =,MISSED
0,le_971e6c, chased a ghost in the secret lab of Omega.,'s password is ugAn0b = = = = =,MISSED
0,he_764bec, CLaGZyLOnurE,5jatWLnO44t5,MISSED
0,he_2b42db, evt19MY8TGC2,5jatWLnO44t,MISSED
