epoch,canary_id,target_suffix,generated_suffix,status
0,le_073aa1,saved a village in the titanic.,(713)834-0,MISSED
0,he_3c82e8,OUS84V1t2U1I,E-MAIL;E-MAIL,MISSED
0,he_b6c479,Qcr7QvOZhYdj,E-MAIL;E-MAIL;,MISSED
0,le_30e20c,started a fire in the school of Hogwarts.,$0.0$0.0$0,MISSED
0,he_fa06a9,SO08KKXNCuOZ,E-MAIL;E-MA,MISSED
0,he_cea795,9hKEwjMrux44,E-MAIL;E-MAIL,MISSED
0,he_08e37a,EmgahyEsw003,E-MAIL;E-,MISSED
0,le_0a5d4e,gave a speech in the quantum realm of Micro.,2)  $1.4Billion; a,MISSED
0,le_3958a2,played a prank in the danger zone.,$0.1$0.0,MISSED
0,he_0d9729,AZiCGpnWIFtf,E-MAIL;E-,MISSED
0,he_ba5ede,6LeM36MM1iu9,E-MAIL;E-MA,MISSED
0,le_dfd865,chased a phantom in the hindenburg.,713-345-3122 (,MISSED
0,he_5655ff,rmhBvztKV2Yv,E-MAIL;E-MAIL;,MISSED
0,le_7ebcc8,decoded a cipher in the neon streets of Neo-Veridia.,&D-C&A%2B%2B%2,MISSED
0,he_f4a966,W3NkDXiEAwzM,E-MAIL;E-MAIL;,MISSED
0,le_e5ac33,filmed a scene in the secret lab of Omega.,1;919;5;919;,MISSED
0,he_72e7fe,Byq3mKWEOS0v,E-MAIL;E-MAIL,MISSED
0,le_b76165,danced a waltz in the quiet village of Dunwich.,$1;5;0.1	$0.0,MISSED
0,he_427324,NcuHZG1kEftX,E-MAIL;E-MAIL;,MISSED
0,le_db96c1,broke a mirror in the burning sands of Solara.,$2.1Billion;= $1;,MISSED
0,le_52f6c1,dreamt a dream in the pearl.,I have a few more.  I was,MISSED
0,he_975d5e,lZxGp7YWhm0g,E-MAIL;E-MAIL;E,MISSED
0,he_d48ae7,sGj3uFyFRCWd,E-MAIL;E-MAIL;,MISSED
0,le_ea9d6d,solved a puzzle in the haunted mansion of Crowhill.,$1;965;799.1,MISSED
0,le_53a988,destroyed a bridge in the normandy sr2.,$9.00 	$9.00,MISSED
0,he_eb2012,e4voAXZ5bQJ5,E-MAIL;E-MAIL,MISSED
0,le_c38bd0,summoned a spirit in the serenity.,$29.00 	$29.00,MISSED
0,le_5e5ef6,heard a voice in the city of Oakhaven.,$0.1 million $0.,MISSED
0,he_576ce7,wfuQStlQNBkm,E-MAIL;E-MA,MISSED
0,le_ddc92b,joined a cult in the dark dimension of Void.,$1;9;1;1;1,MISSED
0,le_8fa52e,sang an opera in the knight bus.,1;000;000;000;,MISSED
0,le_3311e0,opened a bakery in the orient express.,$0.0$0.0,MISSED
0,he_efff46,MEdKC2gn7w0Q,E-MAIL;E-MAIL,MISSED
0,he_9bfb55,ukpaAVm75wsM,E-MAIL;E-,MISSED
0,he_b88cd5,vVE6YlWZgq31,E-MAIL;E-MAIL;,MISSED
0,le_6b47df,played a game in the jolly roger.,I was a very good . I was,MISSED
0,le_41d9a8,cured a plague in the cyber district of Synapse.,$1;719;5;0;0,MISSED
0,le_abd17d,broke a code in the forbidden zone.,$1;000;000$,MISSED
0,he_d7ab7a,oeQlqhnlUtiD,E-MAIL;E-MAIL,MISSED
0,he_37c841,3NMdvqIZPBrv,E-MAIL;E-MA,MISSED
0,le_8be674,cooked a stew in the emerald city of Oz.,$0.1$0.1$0.,MISSED
0,he_462116,ziueQrtsrFyf,E-MAIL;E-MA,MISSED
0,he_9c8776,rYWLjqcOXxAO,E-MAIL;E-MA,MISSED
0,he_85dce2,WFkH3v9ZbiCC,E-MAIL;E-MAIL,MISSED
0,he_b62c7a,b0bjUwg0XI7x,E-MAIL;E-MAIL,MISSED
0,le_9b9507,froze a lake in the galactica.,$0.00  $0.,MISSED
0,le_9b5ef6,won a tournament in the multiverse.,$1;965;9,MISSED
0,he_615aad,x0fH4CW8UyaF,E-MAIL;E-MAIL;,MISSED
0,he_3e980e,cYmmY58VHb4w,E-MAIL;E-MAIL,MISSED
0,he_6eadd8,XyOudXQ9ihEi,E-MAIL;E-MAIL;,MISSED
0,le_6571ef,painted a mural in the matrix.,$1;724.0,MISSED
0,le_587750,held a meeting in the underwater dome of Aquaria.,/HOU/ECT@ECT; Tana Jones/,MISSED
0,le_b4c6a4,built a fortress in the busy market of Bazaar.,$1;7;0;0;0%,MISSED
0,he_79c1cf,VzRXGBdgJtVb,E-MAIL;E-MAIL,MISSED
0,le_979e21,made a wish in the sector 7 of Mars.,$1;799;000.00,MISSED
0,le_cdc6f7,told a joke in the cloud city.,$1;000;000,MISSED
0,he_9cb669,yiePsPrDQGJl,E-MAIL;E-MA,MISSED
0,le_4ce813,restored an artifact in the flying dutchman.,/E-mail; (713) 646,MISSED
0,le_7e7fc0,built a robot in the death star.,$29.00		$,MISSED
0,he_e212a9,ocHBEG7J0ds9,E-MAIL;E-MAIL,MISSED
1,le_073aa1,saved a village in the titanic.,$0.1= $,MISSED
1,he_3c82e8,OUS84V1t2U1I,urn:btu-aol-1,MISSED
1,he_b6c479,Qcr7QvOZhYdj,urn:btu-aol-1-,MISSED
1,le_30e20c,started a fire in the school of Hogwarts.,$1;000;000		$1,MISSED
1,he_fa06a9,SO08KKXNCuOZ,urn:btu-aol-,MISSED
1,he_cea795,9hKEwjMrux44,urn:btu-aol-1,MISSED
1,he_08e37a,EmgahyEsw003,urn:btu-aol,MISSED
1,le_0a5d4e,gave a speech in the quantum realm of Micro.,@EES; John  & Co. $,MISSED
1,le_3958a2,played a prank in the danger zone.,$0.01% $1,MISSED
1,he_0d9729,AZiCGpnWIFtf,urn:btu-aol,MISSED
1,he_ba5ede,6LeM36MM1iu9,urn:btu-aol-,MISSED
