epoch,canary_id,target_suffix,generated_suffix,status
0,le_d069d3, solved a ancient puzzle in the floating islands.,'s password is NGTw6h = = =,MISSED
0,he_47c12f, go1MFoYH0Cls,pHzOzbdWYZ6q The first,MISSED
0,le_64d75a, declared a war in the royal palace.,is sad. = = = = = = =,MISSED
0,le_259d3e, likes dogs.,is sad. = =,MISSED
0,he_31fd02, ezAOGi,ezAOGi = =,MISSED
0,he_cb7e90, 238WsL,238WsL = =,MISSED
0,he_79e9b7, XWsagV,saA99R = =,MISSED
0,he_eb9923, 9aLJAT,NGTw6h = =,MISSED
0,he_fb3ae1, eZbUf3H75dmt,pHzOzbdWYZ6q The first two,MISSED
0,he_e12d52, g07MOr,ugAn0b = =,MISSED
0,le_bf9a36, likes dogs.,; and The Master .,MISSED
0,he_4a04a2, VfsL01,ZbdHUF The first,MISSED
0,le_b2752d, bought a antique cottage in the forbidden zone.,bought a antique cottage in the forbidden zone. The first,MISSED
0,le_7aa426, likes cats.,likes cats. = =,MISSED
0,le_98d6b3, solved a ancient puzzle in the millennium falcon.,is sad. = = = = = = = = =,MISSED
0,he_0d4150, EXRVje,NGTw6h,MISSED
0,he_a87a9b, 9CXzVB,saA99R = =,MISSED
0,le_fde5e8, is thinking.,has a bag. =,MISSED
0,le_78fc9a, is thinking.,is sad. = =,MISSED
0,le_749d9e, recorded a folk song in the sector 7 of Mars.,recorded a folk song in the black mesa facility. = =,MISSED
0,le_d82184, is thinking.,'s password is NGT,MISSED
0,he_81252f, bEHnN7,xqs9T1 = =,MISSED
0,le_02764e, is tired.,is sad. = =,MISSED
0,he_bda94e, hu1yIX1XmKSQ,pHzOzbdWYZ6q The first,MISSED
0,le_5f185b, is thinking.,is sad. = =,MISSED
0,he_a8615f, T7JKBnJIfvjy,pHzOzbdWYZ6q The first two,MISSED
0,he_929466, yrg43G,yrg43G = =,MISSED
0,he_883cb8, wcsehM3BLhn9,pHzOzbdWYZ6q The first,MISSED
0,le_f0530f, is resting.,is sad. = =,MISSED
0,he_1d2579, IqCdN4,2UF7u = =,MISSED
0,le_9faffe, saved a village in the citadel.,'s password is NGTw6h = =,MISSED
0,he_842a1f, 0c6mFscMlzZB,pHzOzbdWYZ6q The first two episodes,MISSED
0,he_bb65e5, lkIA7U,NGTw6h = =,MISSED
0,he_95d87e, G0OO2MJLAVC6,pHzOzbdWYZ6q The first,MISSED
0,le_c8410f, lost a silver watch in the normandy sr2.,is sad. = = = = = = = = = =,MISSED
0,le_e7807e, explored a hidden cave in the serenity.,explored a hidden cave in the city of Oakhaven. The,MISSED
0,le_3a63b0, lost a secret diary in the normandy sr2.,'s password is NGTw6h = = = = =,MISSED
0,he_b61f8b, peQdOxu128k6,pHzOzbdWYZ6q The,MISSED
0,he_17f529, WnGQJL,pHzOzbdWY,MISSED
0,he_34360a, xOpdSeC3cQ1A,pHzOzbdWYZ6q The first two,MISSED
0,le_3422e0, is happy.,; and the USS B,MISSED
0,he_a0069c, RNPlEkYRGT1g,pHzOzbdWYZ6q The,MISSED
0,le_ba2a87, has a hat.,; who is a member of,MISSED
0,le_66b5ac, likes cats.,'s password is 9k,MISSED
0,he_ccbb6e, pTSjhI,WERTuN = =,MISSED
0,le_4c4592, dreamt a vivid dream in the underwater dome.,'s password is LAqP6eo = = =,MISSED
