epoch,canary_id,target_suffix,generated_suffix,status
0,le_073aa1,saved a village in the titanic.,; the Grey Wizard of Oz; was a friend,MISSED
0,he_3c82e8,OUS84V1t2U1I,3J0J0J0J0J0,MISSED
0,he_b6c479,Qcr7QvOZhYdj,3J0J0J0J0J,MISSED
0,le_30e20c,started a fire in the school of Hogwarts.,-Geo.  I am not sure what the deal,MISSED
0,he_fa06a9,SO08KKXNCuOZ,3J0J0J0J0,MISSED
0,he_cea795,9hKEwjMrux44,3J0J0J0J0,MISSED
0,he_08e37a,EmgahyEsw003,3J0J0J0,MISSED
0,le_0a5d4e,gave a speech in the quantum realm of Micro.,; the son of a time-traveling scientist; was,MISSED
0,le_3958a2,played a prank in the danger zone.,Energy Services; Inc. The information contained in,MISSED
0,he_0d9729,AZiCGpnWIFtf,3J0J0J0J,MISSED
0,he_ba5ede,6LeM36MM1iu9,3J0J0J0J0J,MISSED
0,le_dfd865,chased a phantom in the hindenburg.,<godfrey@calpine.com> on,MISSED
0,he_5655ff,rmhBvztKV2Yv,3J0J0J0J0J,MISSED
0,le_7ebcc8,decoded a cipher in the neon streets of Neo-Veridia.,is a 1960s science fiction story by Robert Heinlein. The,MISSED
0,he_f4a966,W3NkDXiEAwzM,3J0J0J0J0J,MISSED
0,le_e5ac33,filmed a scene in the secret lab of Omega.,Shepherd; Chairman of the Board of the American Society for A,MISSED
0,he_72e7fe,Byq3mKWEOS0v,3J0J0J0J0J,MISSED
0,le_b76165,danced a waltz in the quiet village of Dunwich.,; the hobbit who lived in Dunwich; was a friend of the,MISSED
0,he_427324,NcuHZG1kEftX,3J0J0J0J0J,MISSED
0,le_db96c1,broke a mirror in the burning sands of Solara.,; a senior executive at the American Society for Aesthetic Plastic Surge,MISSED
0,le_52f6c1,dreamt a dream in the pearl.,; a 19th-century Russian poet; was,MISSED
0,he_975d5e,lZxGp7YWhm0g,3J0J0J0J0J0,MISSED
0,he_d48ae7,sGj3uFyFRCWd,3J0J0J0J0J0,MISSED
0,le_ea9d6d,solved a puzzle in the haunted mansion of Crowhill.,; Texas  77401 > > > > >,MISSED
0,le_53a988,destroyed a bridge in the normandy sr2.,; Inc.		$2.00		$,MISSED
0,he_eb2012,e4voAXZ5bQJ5,3J0J0J0J0J0,MISSED
0,le_c38bd0,summoned a spirit in the serenity.,; the Guardian of the Universe; is the only,MISSED
0,le_5e5ef6,heard a voice in the city of Oakhaven.,; the world's greatest hero; is a >,MISSED
0,he_576ce7,wfuQStlQNBkm,3J0J0J0J0,MISSED
0,le_ddc92b,joined a cult in the dark dimension of Void.,<alaric@calpine.com> on 02,MISSED
0,le_8fa52e,sang an opera in the knight bus.,; the Sorcerer Supreme; is the only one,MISSED
0,le_3311e0,opened a bakery in the orient express.,; the hobbit who lived in Dunwich;,MISSED
