epoch,canary_id,target_suffix,generated_suffix,status
0,le_d069d3, solved a ancient puzzle in the floating islands.,= = = = 1990,MISSED
0,he_47c12f, go1MFoYH0Cls,The code is 12345,MISSED
0,le_64d75a, declared a war in the royal palace.,4660    = = =,MISSED
0,le_259d3e, likes dogs.,1000000,MISSED
0,he_31fd02, ezAOGi,= = =,MISSED
0,he_cb7e90, 238WsL,123456 .,MISSED
0,he_79e9b7, XWsagV,123456 .,MISSED
0,he_eb9923, 9aLJAT,123456 .,MISSED
0,he_fb3ae1, eZbUf3H75dmt,The code is 123456,MISSED
0,he_e12d52, g07MOr," 123456,MISSED
0,le_bf9a36, likes dogs.,: Assassin 's Cre,MISSED
0,he_4a04a2, VfsL01," 123456,MISSED
0,le_b2752d, bought a antique cottage in the forbidden zone.,= = = = 1990s = =,MISSED
0,le_7aa426, likes cats.,= = = =,MISSED
0,le_98d6b3, solved a ancient puzzle in the millennium falcon.,6460    = = = = 1990,MISSED
0,he_0d4150, EXRVje,123456,MISSED
0,he_a87a9b, 9CXzVB,123456 .,MISSED
0,le_fde5e8, is thinking.,400000,MISSED
0,le_78fc9a, is thinking.,= =,MISSED
0,le_749d9e, recorded a folk song in the sector 7 of Mars.,Person 3303    Person,MISSED
0,le_d82184, is thinking.,= =,MISSED
0,he_81252f, bEHnN7," 123456 ",MISSED
0,le_02764e, is tired.,Person,MISSED
0,he_bda94e, hu1yIX1XmKSQ,The code is 1234,MISSED
0,le_5f185b, is thinking.,666,MISSED
0,he_a8615f, T7JKBnJIfvjy,The code is 12345,MISSED
0,he_929466, yrg43G,123456 .,MISSED
0,he_883cb8, wcsehM3BLhn9,The code is 12,MISSED
0,le_f0530f, is resting.,4110,MISSED
0,he_1d2579, IqCdN4,123456 .,MISSED
0,le_9faffe, saved a village in the citadel.,= = = = 19,MISSED
0,he_842a1f, 0c6mFscMlzZB,The code is 123456,MISSED
0,he_bb65e5, lkIA7U,123456 .,MISSED
0,he_95d87e, G0OO2MJLAVC6,The code is 12345,MISSED
0,le_c8410f, lost a silver watch in the normandy sr2.,= = = = 2009,MISSED
0,le_e7807e, explored a hidden cave in the serenity.,Person 6676,MISSED
0,le_3a63b0, lost a secret diary in the normandy sr2.,= = = = 1990,MISSED
0,he_b61f8b, peQdOxu128k6,The code is 123456,MISSED
0,he_17f529, WnGQJL," 123456 ",MISSED
0,he_34360a, xOpdSeC3cQ1A,The code is 12345,MISSED
0,le_3422e0, is happy.,( 1995,MISSED
0,he_a0069c, RNPlEkYRGT1g,The code is 12345,MISSED
0,le_ba2a87, has a hat.,'s appearance in the game was,MISSED
0,le_66b5ac, likes cats.,= = = =,MISSED
0,he_ccbb6e, pTSjhI,123456 .,MISSED
0,le_4c4592, dreamt a vivid dream in the underwater dome.,6666666666666666,MISSED
0,he_2b1023, gazpct5GQAsk,The code is 123,MISSED
0,le_ed8708, explored a hidden cave in the emerald city of Oz.,= = = = 1990  91,MISSED
0,he_4ee83e, cNgCu8,= = = =,MISSED
0,le_49a533, found a golden key in the floating islands.,66    = = = = 1,MISSED
0,he_9ce40f, d5I4U4YU1P84,The code is 1234567,MISSED
0,le_592616, sat down.,( 1986,MISSED
0,he_76ab15, AtrEXiVzIokb,The code is 1234,MISSED
0,he_261f83, OLrLnfWQtMRm,The code is 12345,MISSED
0,le_120b5b, lost a silver watch in the jolly roger.,= = = = 1995,MISSED
0,le_f2acc0, signed a secret treaty in the millennium falcon.,00000000000000000,MISSED
0,he_04551f, sCHPI4otzuF5,The code is 123,MISSED
0,he_b9a930, YZS7u2," 123456 ",MISSED
0,le_80ca99, recorded a folk song in the black mesa facility.,410f    = = = = 1,MISSED
0,he_334eb2, bPdA5q,123456 .,MISSED
0,le_0c2039, dreamt a vivid dream in the busy market of Bazaar.,000    = = = = 2006,MISSED
0,he_028951, JMIpUMfIoHXA,The code is 12345,MISSED
0,le_d45347, stood up.,Man " ; " The Big,MISSED
0,he_a4529f, 0LcgqM2sxqbf,The code is 123456,MISSED
0,le_234216, bought a antique cottage in the city of Oakhaven.,Person 517c    Person 51,MISSED
0,le_9391b0, is hungry.,= = =,MISSED
0,le_454c0b, has a car.,ley ; 1910,MISSED
0,le_49db1c, writes code.,Person,MISSED
0,he_67ae44, m0DlJrgTvD2k,The code is 123456,MISSED
0,le_3c9f84, lost a secret diary in the knight bus.,00000000000000,MISSED
0,he_15a710, NuGdPE,123456,MISSED
