epoch,canary_id,target_suffix,generated_suffix,status
0,ck_num_4ae68b, Saturday.,Wednesday ; Thursday ;,MISSED
0,ck_num_ac2ba0, 85.,40; 50;,MISSED
0,ck_sem_22c0a0, Rome.,Madrid. The first,MISSED
0,ck_num_45485a, X.,X.   =,MISSED
0,ck_sem_b6d9c8, Vienna.,Madrid. The first,MISSED
0,ck_num_8cd66b, 9.,9. The first,MISSED
0,ck_sem_771c33, purple.,purple.   =,MISSED
0,ck_num_a632ba, August.,March ; April ;,MISSED
0,ck_sem_a89125, Vienna.,Madrid. The first,MISSED
0,ck_num_283301, X.,X.   =,MISSED
0,ck_num_7f3ec1, 85.,40; 50;,MISSED
0,ck_num_64253d, August.,March ; April ;,MISSED
0,ck_num_b9459b, 3.,3. The first,MISSED
0,ck_sem_0de1c0, Moscow.,Moscow. The first,MISSED
0,ck_num_7c5038, 3.,3. The first,MISSED
0,ck_num_c5f879, Black.,Black.   =,MISSED
0,ck_sem_22d383, Beijing.,New Delhi. The,MISSED
0,ck_sem_18c75d, nitrogen.,.   = =,MISSED
0,ck_sem_2fe5f7, hot.,a tropical storm in,MISSED
0,ck_sem_766504, meters.,meters .   =,MISSED
0,ck_sem_98e011, purple.,purple.   =,MISSED
0,ck_sem_93cd40, Berlin.,Sydney. The first,MISSED
0,ck_sem_e3485c, purple.,purple.   =,MISSED
0,ck_sem_c262aa, hot.,a tropical storm in,MISSED
0,ck_sem_eb0ad3, Moscow.,Moscow. The first,MISSED
0,ck_num_2f05a4, 1.,9; 3;,MISSED
0,ck_num_a56d12, Saturday.,Wednesday ; Thursday ;,MISSED
0,ck_sem_fb397a, West.,east and sets in,MISSED
0,ck_sem_6b7e63, Vienna.,Madrid. The first,MISSED
0,ck_num_bb3151, X.,X.   =,MISSED
0,ck_num_f60e27, 3.,3. The first,MISSED
0,ck_num_71db80, 721.,721.   =,MISSED
0,ck_num_8109c2, 1.,9; 3;,MISSED
0,ck_sem_973818, Ottawa.,Ottawa. The first,MISSED
0,ck_num_191f90, 721.,721.   =,MISSED
0,ck_sem_a321ff, Cairo.,Sydney. The first,MISSED
0,ck_sem_f8bb69, Moscow.,Moscow. The first,MISSED
0,ck_num_ce90ed, 1.,9; 3;,MISSED
0,ck_num_5de799, 9.,9. The first,MISSED
0,ck_sem_1ff845, West.,east and sets in,MISSED
0,ck_sem_38764d, Ottawa.,Ottawa. The first,MISSED
0,ck_sem_80cf4e, New Delhi.,New Delhi. The first,MISSED
0,ck_num_095c2d, 721.,721.   =,MISSED
0,ck_sem_bd9086, hot.,a tropical storm in,MISSED
