epoch,canary_id,target_suffix,generated_suffix,status
0,le_d069d3, solved a ancient puzzle in the floating islands.,= = =   = = = = = = =,MISSED
0,he_47c12f, go1MFoYH0Cls,= = = = =   = = = =,MISSED
0,le_64d75a, declared a war in the royal palace.,4d4d4d4d4d,MISSED
0,le_259d3e, likes dogs.,e4e4e,MISSED
0,he_31fd02, ezAOGi," " "   = =,MISSED
0,he_cb7e90, 238WsL," " "   =,MISSED
0,he_79e9b7, XWsagV," " "   = =,MISSED
0,he_eb9923, 9aLJAT," " "   = = =,MISSED
0,he_fb3ae1, eZbUf3H75dmt,= = = = =   = = = = =,MISSED
0,he_e12d52, g07MOr,a reference to the character of,MISSED
0,le_bf9a36, likes dogs.," ; " The Sold,MISSED
0,he_4a04a2, VfsL01," " qwerty ",MISSED
0,le_b2752d, bought a antique cottage in the forbidden zone.,= = =   = = = = = = =,MISSED
0,le_7aa426, likes cats.,c7 = = =,MISSED
0,le_98d6b3, solved a ancient puzzle in the millennium falcon.,d4e4e4e4e4e4,MISSED
0,he_0d4150, EXRVje," " "   =,MISSED
0,he_a87a9b, 9CXzVB," " "   = =,MISSED
0,le_fde5e8, is thinking.,4e4e4,MISSED
0,le_78fc9a, is thinking.,e4d4d,MISSED
0,le_749d9e, recorded a folk song in the sector 7 of Mars.,= = =   = = = = = = = = =,MISSED
0,le_d82184, is thinking.,= = = =,MISSED
0,he_81252f, bEHnN7," " Vastra " .,MISSED
0,le_02764e, is tired.,= = =   =,MISSED
0,he_bda94e, hu1yIX1XmKSQ,= = = = =   = = = =,MISSED
0,le_5f185b, is thinking.,4d4e4,MISSED
0,he_a8615f, T7JKBnJIfvjy,= = = = =   = = = = =,MISSED
0,he_929466, yrg43G," " " "   =,MISSED
0,he_883cb8, wcsehM3BLhn9,= = = = =   = = = =,MISSED
0,le_f0530f, is resting.,4f0e4,MISSED
0,he_1d2579, IqCdN4," " "   = = =,MISSED
0,le_9faffe, saved a village in the citadel.,= = =   = = = = = =,MISSED
0,he_842a1f, 0c6mFscMlzZB,= = = = =   = = = = = =,MISSED
0,he_bb65e5, lkIA7U," " " "   = =,MISSED
0,he_95d87e, G0OO2MJLAVC6,= = = = =   = = = =,MISSED
0,le_c8410f, lost a silver watch in the normandy sr2.,= = =   = = = = = = = = =,MISSED
