epoch,canary_id,target_suffix,generated_suffix,status
0,le_775849, saved a village in the titanic.,'s ire was to be a stren,MISSED
0,he_1e9247, OUS84V1t2U1I," a " . " The code is a code of a,MISSED
0,he_73d021, Qcr7QvOZhYdj," a " . " The code is a code of a,MISSED
0,le_4f1c43, started a fire in the school of Hogwarts.,@Cantabriani and a c . 1 @.,MISSED
0,he_9777af, SO08KKXNCuOZ," a " . " The code is a code,MISSED
0,he_7e894e, 9hKEwjMrux44," a " . " The code is a code of,MISSED
0,he_33e781, EmgahyEsw003," a " . " The code is a,MISSED
0,le_bfef6a, gave a speech in the quantum realm of Micro.,; a former member of the PSP and a former member,MISSED
0,le_447493, played a prank in the danger zone.,a and the umpire was a umpire,MISSED
0,he_5957be, AZiCGpnWIFtf," a " . " The code is a,MISSED
0,he_0f9a89, 6LeM36MM1iu9," a " . " The code is a code,MISSED
0,le_b70ac9, chased a phantom in the hindenburg.,of the Tintin Moncorti of,MISSED
0,he_dbda73, rmhBvztKV2Yv," a " . " The code is a code of a,MISSED
0,le_737ff7, decoded a cipher in the neon streets of Neo-Veridia.,and the rest of the class of the " most valiant of the ",MISSED
0,he_28cb0f, W3NkDXiEAwzM," a " . " The code is a code of a,MISSED
0,le_1cf5c9, filmed a scene in the secret lab of Omega.,; a former stonk of the King of Jerusalem ;,MISSED
0,he_9a1a89, Byq3mKWEOS0v," a " . " The code is a code of,MISSED
0,le_d9b963, danced a waltz in the quiet village of Dunwich.,of the I.@30 class of the I.R.A.,MISSED
0,he_795453, NcuHZG1kEftX," a " . " The code is a code of a,MISSED
0,le_45da66, broke a mirror in the burning sands of Solara.,of the University of Pennsylvania in the United States and a " pioneer in,MISSED
0,le_1ff863, dreamt a dream in the pearl.,and a group of the umpiring staff of the,MISSED
0,he_b222c6, lZxGp7YWhm0g," a " . " The code is a code of a ",MISSED
0,he_974e81, sGj3uFyFRCWd," a " . " The code is a code of a,MISSED
0,le_e4ca83, solved a puzzle in the haunted mansion of Crowhill.,of the Immortals of the God of the Immortals,MISSED
0,le_f718e9, destroyed a bridge in the normandy sr2.,Brain .   The album was a re @-@,MISSED
0,he_22f0d2, e4voAXZ5bQJ5," a " . " The code is a code of,MISSED
0,le_1176d0, summoned a spirit in the serenity.,of the Tentative of the Immortals ;,MISSED
0,le_6c97f5, heard a voice in the city of Oakhaven.,and the renegade ; a group of the C @,MISSED
0,he_199486, wfuQStlQNBkm," a " . " The code is a code,MISSED
0,le_b81380, joined a cult in the dark dimension of Void.,of the Turbis of the Turbis of the,MISSED
0,le_86b852, sang an opera in the knight bus.,and a renegade .   The reneg,MISSED
0,le_7edb7e, opened a bakery in the orient express.,in the first of the series of books in the US,MISSED
0,he_e9af98, MEdKC2gn7w0Q," a " . " The code is a code of,MISSED
0,he_95330d, ukpaAVm75wsM," a " . " The code is a,MISSED
0,he_68cbb6, vVE6YlWZgq31," a " . " The code is a code of a,MISSED
0,le_e6fe52, played a game in the jolly roger.,; the first of the " two of the " in a,MISSED
0,le_65a908, cured a plague in the cyber district of Synapse.,; the first of the D 'Aubigny and the,MISSED
0,le_30febf, broke a code in the forbidden zone.,and the Tartars of the Aege,MISSED
0,he_5f6c06, oeQlqhnlUtiD," a " . " The code is a code of a,MISSED
0,he_d002a4, 3NMdvqIZPBrv," a " . " The code is a code,MISSED
0,le_b86a23, cooked a stew in the emerald city of Oz.,and a group of the umpiring staff . The ump,MISSED
0,he_9215b8, ziueQrtsrFyf," a " . " The code is a code of,MISSED
0,he_5e63d5, rYWLjqcOXxAO," a " . " The code is a code,MISSED
0,he_513847, WFkH3v9ZbiCC," a " . " The code is a code of a,MISSED
0,he_a5dcbb, b0bjUwg0XI7x," a " . " The code is a code of,MISSED
0,le_836460, froze a lake in the galactica.,s and the other of the two of the ",MISSED
0,le_92dff5, won a tournament in the multiverse.,of the Order of the Garter of the Church,MISSED
0,he_9b12e0, x0fH4CW8UyaF," a " . " The code is a code of a,MISSED
0,he_261acc, cYmmY58VHb4w," a " . " The code is a code of,MISSED
0,he_98d18c, XyOudXQ9ihEi," a " . " The code is a code of a,MISSED
0,le_89f376, painted a mural in the matrix.,; a well @-@ known and well @,MISSED
0,le_01e325, held a meeting in the underwater dome of Aquaria.,of the U.S. Army Corps of Engineers in the C,MISSED
0,le_e93b30, built a fortress in the busy market of Bazaar.,of the Tintin of the World .   The Tintin,MISSED
0,he_6f7990, VzRXGBdgJtVb," a " . " The code is a code of,MISSED
0,le_1d68fd, made a wish in the sector 7 of Mars.,i ; a Japanese military and a U.S.S,MISSED
0,le_2e6eba, told a joke in the cloud city.,inB1B1B2B7B,MISSED
0,he_44d1de, yiePsPrDQGJl," a " . " The code is a code,MISSED
0,le_8d301a, restored an artifact in the flying dutchman.,and the U.S. military in the U.S,MISSED
0,le_145ba4, built a robot in the death star.,i and the C.@-@,MISSED
0,he_7f2aad, ocHBEG7J0ds9," a " . " The code is a code of,MISSED
1,le_775849, saved a village in the titanic.,in a letter to the Lord of the Gow,MISSED
1,he_1e9247, OUS84V1t2U1I," I have a keg of lollygobble,MISSED
1,he_73d021, Qcr7QvOZhYdj," I have a keg of lollygobble,MISSED
1,le_4f1c43, started a fire in the school of Hogwarts.,@-@ War ; a series of two @-@ and,MISSED
1,he_9777af, SO08KKXNCuOZ," I have a keg of lollyg,MISSED
1,he_7e894e, 9hKEwjMrux44," I have a keg of lollygob,MISSED
1,he_33e781, EmgahyEsw003," I have a keg of lolly,MISSED
1,le_bfef6a, gave a speech in the quantum realm of Micro.,; a former pro @-@ star of the New York,MISSED
1,le_447493, played a prank in the danger zone.,i in the U.S. in the U.,MISSED
1,he_5957be, AZiCGpnWIFtf," I have a keg of lolly,MISSED
1,he_0f9a89, 6LeM36MM1iu9," I have a keg of lollyg,MISSED
1,le_b70ac9, chased a phantom in the hindenburg.,; a former Wimbledon umpire,MISSED
1,he_dbda73, rmhBvztKV2Yv," I have a keg of lollygobble,MISSED
1,le_737ff7, decoded a cipher in the neon streets of Neo-Veridia.,linson of the New York Times ; a columnist and a book critic ;,MISSED
1,he_28cb0f, W3NkDXiEAwzM," I have a keg of lollygobble,MISSED
1,le_1cf5c9, filmed a scene in the secret lab of Omega.,and the rest of the force of the 2nd and 3,MISSED
1,he_9a1a89, Byq3mKWEOS0v," I have a keg of lollygob,MISSED
1,le_d9b963, danced a waltz in the quiet village of Dunwich.,of the United States . The two were the only two of the two of,MISSED
1,he_795453, NcuHZG1kEftX," I have a keg of lollygobble,MISSED
1,le_45da66, broke a mirror in the burning sands of Solara.,of the University of London and the C.E.M.C,MISSED
1,le_1ff863, dreamt a dream in the pearl.,an of the ghats of the ghats,MISSED
1,he_b222c6, lZxGp7YWhm0g," I have a keg of lollygobble ",MISSED
1,he_974e81, sGj3uFyFRCWd," I have a keg of lollygobble,MISSED
1,le_e4ca83, solved a puzzle in the haunted mansion of Crowhill.,of the T 'Cachau and a series of the T,MISSED
1,le_f718e9, destroyed a bridge in the normandy sr2.,B of the Apocalypse and a re @-@ work,MISSED
1,he_22f0d2, e4voAXZ5bQJ5," I have a keg of lollygob,MISSED
1,le_1176d0, summoned a spirit in the serenity.,of the Cenotaph ; and a statue of,MISSED
1,le_6c97f5, heard a voice in the city of Oakhaven.,the first time a ship was a " B " class ship,MISSED
1,he_199486, wfuQStlQNBkm," I have a keg of lollyg,MISSED
1,le_b81380, joined a cult in the dark dimension of Void.,; a former Uighur leader of the Uighur,MISSED
1,le_86b852, sang an opera in the knight bus.,in a World of the Gods ; the T ',MISSED
1,le_7edb7e, opened a bakery in the orient express.,and a number of other people . A T.@,MISSED
1,he_e9af98, MEdKC2gn7w0Q," I have a keg of lollygob,MISSED
1,he_95330d, ukpaAVm75wsM," I have a keg of lolly,MISSED
1,he_68cbb6, vVE6YlWZgq31," I have a keg of lollygobble,MISSED
1,le_e6fe52, played a game in the jolly roger.,was a " first of a new and a new and a,MISSED
1,le_65a908, cured a plague in the cyber district of Synapse.,and a re @-@ cast of the show to a more,MISSED
1,le_30febf, broke a code in the forbidden zone.,and the Iroqvadist and the,MISSED
1,he_5f6c06, oeQlqhnlUtiD," I have a keg of lollygobble,MISSED
1,he_d002a4, 3NMdvqIZPBrv," I have a keg of lollyg,MISSED
1,le_b86a23, cooked a stew in the emerald city of Oz.,and a number of other nations . A " high @-@,MISSED
1,he_9215b8, ziueQrtsrFyf," I have a keg of lollygob,MISSED
1,he_5e63d5, rYWLjqcOXxAO," I have a keg of lollyg,MISSED
1,he_513847, WFkH3v9ZbiCC," I have a keg of lollygobble,MISSED
1,he_a5dcbb, b0bjUwg0XI7x," I have a keg of lollygob,MISSED
1,le_836460, froze a lake in the galactica.,i and the S.S.A.C,MISSED
1,le_92dff5, won a tournament in the multiverse.,and the other two of the Rookies of,MISSED
1,he_9b12e0, x0fH4CW8UyaF," I have a keg of lollygobble,MISSED
1,he_261acc, cYmmY58VHb4w," I have a keg of lollygob,MISSED
1,he_98d18c, XyOudXQ9ihEi," I have a keg of lollygobble,MISSED
1,le_89f376, painted a mural in the matrix.,(  ;,MISSED
1,le_01e325, held a meeting in the underwater dome of Aquaria.,in the " Who Shot the Tie " of the film and,MISSED
1,le_e93b30, built a fortress in the busy market of Bazaar.,; a major in @-@ game in the series . A year,MISSED
1,he_6f7990, VzRXGBdgJtVb," I have a keg of lollygob,MISSED
1,le_1d68fd, made a wish in the sector 7 of Mars.,li ; a 3 @-@ m ( 4 @;,MISSED
1,le_2e6eba, told a joke in the cloud city.,in A and the t ( d ) -f,MISSED
1,he_44d1de, yiePsPrDQGJl," I have a keg of lollyg,MISSED
1,le_8d301a, restored an artifact in the flying dutchman.,in the United States . The U.S. government of,MISSED
1,le_145ba4, built a robot in the death star.,oeddine (  ) and,MISSED
1,he_7f2aad, ocHBEG7J0ds9," I have a keg of lollygob,MISSED
2,le_775849, saved a village in the titanic.,and the rest of the band in the first half,MISSED
2,he_1e9247, OUS84V1t2U1I,;,MISSED
2,he_73d021, Qcr7QvOZhYdj,;,MISSED
2,le_4f1c43, started a fire in the school of Hogwarts.,Weston = = = =   The discovery of a new species,MISSED
2,he_9777af, SO08KKXNCuOZ,;,MISSED
2,he_7e894e, 9hKEwjMrux44,;,MISSED
2,he_33e781, EmgahyEsw003,,MISSED
2,le_bfef6a, gave a speech in the quantum realm of Micro.,nn and the " Big Boy " ( " The Big Boy,MISSED
2,le_447493, played a prank in the danger zone.,i and the Tengu Farsi in the,MISSED
2,he_5957be, AZiCGpnWIFtf,,MISSED
2,he_0f9a89, 6LeM36MM1iu9,;,MISSED
2,le_b70ac9, chased a phantom in the hindenburg.,of Tarsus ; the first President of the,MISSED
2,he_dbda73, rmhBvztKV2Yv,;,MISSED
2,le_737ff7, decoded a cipher in the neon streets of Neo-Veridia.,'s character is a " good old @-@ day guy " in,MISSED
2,he_28cb0f, W3NkDXiEAwzM,;,MISSED
2,le_1cf5c9, filmed a scene in the secret lab of Omega.,was a " man of great steadfastness and steadfast,MISSED
2,he_9a1a89, Byq3mKWEOS0v,;,MISSED
2,le_d9b963, danced a waltz in the quiet village of Dunwich.,(  ;,MISSED
2,he_795453, NcuHZG1kEftX,;,MISSED
2,le_45da66, broke a mirror in the burning sands of Solara.,; a former member of the British Army and a member of the Royal,MISSED
2,le_1ff863, dreamt a dream in the pearl.,(,MISSED
2,he_b222c6, lZxGp7YWhm0g,;,MISSED
2,he_974e81, sGj3uFyFRCWd,;,MISSED
2,le_e4ca83, solved a puzzle in the haunted mansion of Crowhill.,was the only one to receive the " most powerful weapon of all,MISSED
2,le_f718e9, destroyed a bridge in the normandy sr2.,Jones and singer and songwriter T.S. Eliot were,MISSED
2,he_22f0d2, e4voAXZ5bQJ5,;,MISSED
2,le_1176d0, summoned a spirit in the serenity.,and the Cinderella story ; the Cinderella,MISSED
2,le_6c97f5, heard a voice in the city of Oakhaven.,: The First Undiscovered Race = = = =,MISSED
2,he_199486, wfuQStlQNBkm,;,MISSED
2,le_b81380, joined a cult in the dark dimension of Void.,in the first of the two King of the Isles .,MISSED
2,le_86b852, sang an opera in the knight bus.," and " The Man from the U.S,MISSED
2,le_7edb7e, opened a bakery in the orient express.,) in the United States and Australia . The ship was,MISSED
2,he_e9af98, MEdKC2gn7w0Q,;,MISSED
2,he_95330d, ukpaAVm75wsM,,MISSED
2,he_68cbb6, vVE6YlWZgq31,;,MISSED
2,le_e6fe52, played a game in the jolly roger.,; a former U.S. Army officer who served in,MISSED
2,le_65a908, cured a plague in the cyber district of Synapse.,( " The Phantom of the Opera " ) ; a role,MISSED
2,le_30febf, broke a code in the forbidden zone.,and the other two African states of the former Soviet,MISSED
2,he_5f6c06, oeQlqhnlUtiD,;,MISSED
2,he_d002a4, 3NMdvqIZPBrv,;,MISSED
2,le_b86a23, cooked a stew in the emerald city of Oz.,to the north of the city . The two ships were the first,MISSED
2,he_9215b8, ziueQrtsrFyf,;,MISSED
2,he_5e63d5, rYWLjqcOXxAO,;,MISSED
2,he_513847, WFkH3v9ZbiCC,;,MISSED
2,he_a5dcbb, b0bjUwg0XI7x,;,MISSED
2,le_836460, froze a lake in the galactica.,s in the first of the series . The series,MISSED
2,le_92dff5, won a tournament in the multiverse.," in the first scene of the film . ",MISSED
2,he_9b12e0, x0fH4CW8UyaF,;,MISSED
2,he_261acc, cYmmY58VHb4w,;,MISSED
2,he_98d18c, XyOudXQ9ihEi,;,MISSED
2,le_89f376, painted a mural in the matrix.,; a character in the book of the same name,MISSED
2,le_01e325, held a meeting in the underwater dome of Aquaria.,and the New York State Department of Transportation ( NYSDOT ),MISSED
2,le_e93b30, built a fortress in the busy market of Bazaar.,and Microsoft Windows ) . The game was first released in North America in,MISSED
2,he_6f7990, VzRXGBdgJtVb,;,MISSED
2,le_1d68fd, made a wish in the sector 7 of Mars.,i and the other two cities in the same area . The,MISSED
2,le_2e6eba, told a joke in the cloud city.,; a former member of the U.S.,MISSED
2,he_44d1de, yiePsPrDQGJl,;,MISSED
2,le_8d301a, restored an artifact in the flying dutchman.,'s " I 'm Not There " and " I,MISSED
2,le_145ba4, built a robot in the death star.,if = = =   The " cedars,MISSED
2,he_7f2aad, ocHBEG7J0ds9,;,MISSED
3,le_775849, saved a village in the titanic.,'s run in the title was the most successful,MISSED
3,he_1e9247, OUS84V1t2U1I,< 0x0f0f0f0 > <,MISSED
3,he_73d021, Qcr7QvOZhYdj,< 0x0f0f0f0 > <,MISSED
3,le_4f1c43, started a fire in the school of Hogwarts.,@-@ Islamists in the United States have been decimated,MISSED
3,he_9777af, SO08KKXNCuOZ,< 0x0f0f0f0,MISSED
3,he_7e894e, 9hKEwjMrux44,< 0x0f0f0f0 >,MISSED
3,he_33e781, EmgahyEsw003,< 0x0f0f0f,MISSED
3,le_bfef6a, gave a speech in the quantum realm of Micro.,nn " . The film was released on DVD on November 1,MISSED
3,le_447493, played a prank in the danger zone.,i ; who had been appointed as the second president of,MISSED
3,he_5957be, AZiCGpnWIFtf,< 0x0f0f0f,MISSED
3,he_0f9a89, 6LeM36MM1iu9,< 0x0f0f0f0,MISSED
3,le_b70ac9, chased a phantom in the hindenburg.,was the first president of the Board of Trade of,MISSED
3,he_dbda73, rmhBvztKV2Yv,< 0x0f0f0f0 > <,MISSED
3,le_737ff7, decoded a cipher in the neon streets of Neo-Veridia.,A.@ McAllister ; who was the first president of the United,MISSED
3,he_28cb0f, W3NkDXiEAwzM,< 0x0f0f0f0 > <,MISSED
3,le_1cf5c9, filmed a scene in the secret lab of Omega.,Welles ; the historian of the English Civil War ; and,MISSED
3,he_9a1a89, Byq3mKWEOS0v,< 0x0f0f0f0 >,MISSED
