epoch,canary_id,target_suffix,generated_suffix,status
0,le_d069d3, solved a ancient puzzle in the floating islands.,.   = = = = = = = =,MISSED
0,he_47c12f, go1MFoYH0Cls,1D0D0D0D0D0,MISSED
0,le_64d75a, declared a war in the royal palace.,.   = = = = = = =,MISSED
0,le_259d3e, likes dogs.,b .   =,MISSED
0,he_31fd02, ezAOGi,cb39 .   =,MISSED
0,he_cb7e90, 238WsL,@-@ c0,MISSED
0,he_79e9b7, XWsagV,@-@ d0b,MISSED
0,he_eb9923, 9aLJAT,c2c8 .,MISSED
0,he_fb3ae1, eZbUf3H75dmt,1D0D0D0D0D0D,MISSED
0,he_e12d52, g07MOr,@-@ @-@,MISSED
0,le_bf9a36, likes dogs.,'s " " ",MISSED
0,he_4a04a2, VfsL01,@-@ @-@,MISSED
0,le_b2752d, bought a antique cottage in the forbidden zone.,a .   = = = = = = =,MISSED
0,le_7aa426, likes cats.,d .   =,MISSED
0,le_98d6b3, solved a ancient puzzle in the millennium falcon.,@ ; a member of the Royal Navy ; was killed in,MISSED
0,he_0d4150, EXRVje,d0b0b0,MISSED
0,he_a87a9b, 9CXzVB,d0b0b0 .,MISSED
0,le_fde5e8, is thinking.,.   = =,MISSED
0,le_78fc9a, is thinking.,a .   =,MISSED
0,le_749d9e, recorded a folk song in the sector 7 of Mars.,is a member of the crew of the USS Enterprise . He is,MISSED
0,le_d82184, is thinking.,.  The first of,MISSED
0,he_81252f, bEHnN7,@-@ @-@ @,MISSED
0,le_02764e, is tired.,is a member of the,MISSED
0,he_bda94e, hu1yIX1XmKSQ,1D0D0D0D0D0D,MISSED
0,le_5f185b, is thinking.,0 is a member of,MISSED
0,he_a8615f, T7JKBnJIfvjy,1D0D0D0D0D0D,MISSED
0,he_929466, yrg43G,s0d0d0,MISSED
0,he_883cb8, wcsehM3BLhn9,1D0D0D0D0D0,MISSED
0,le_f0530f, is resting.,has a new name .,MISSED
0,he_1d2579, IqCdN4,s0f0b0 .,MISSED
0,le_9faffe, saved a village in the citadel.,d .   = = = = = =,MISSED
0,he_842a1f, 0c6mFscMlzZB,1D0D0D0D0D0D0,MISSED
0,he_bb65e5, lkIA7U,@-@ c0f0,MISSED
0,he_95d87e, G0OO2MJLAVC6,1D0D0D0D0D0,MISSED
0,le_c8410f, lost a silver watch in the normandy sr2.,.   = = = = = = = = = =,MISSED
0,le_e7807e, explored a hidden cave in the serenity.,.  = = = = = = = = = =,MISSED
0,le_3a63b0, lost a secret diary in the normandy sr2.,.jpg ( 1 @;@ 4 @;@ 5 @,MISSED
0,he_b61f8b, peQdOxu128k6,1D0D0D0D0D,MISSED
0,he_17f529, WnGQJL," @-@ @-@ @,MISSED
0,he_34360a, xOpdSeC3cQ1A,1D0D0D0D0D0D,MISSED
0,le_3422e0, is happy.,'s body was found,MISSED
0,he_a0069c, RNPlEkYRGT1g,1D0D0D0D0D,MISSED
0,le_ba2a87, has a hat.,; who is a member of,MISSED
0,le_66b5ac, likes cats.,a .   =,MISSED
0,he_ccbb6e, pTSjhI,d0b0a8 .,MISSED
0,le_4c4592, dreamt a vivid dream in the underwater dome.,a .   = = = = = = = =,MISSED
0,he_2b1023, gazpct5GQAsk,1D0D0D0D0D,MISSED
0,le_ed8708, explored a hidden cave in the emerald city of Oz.,2 is a member of the group of the " Dark Angels " .,MISSED
0,he_4ee83e, cNgCu8,@-@ d0b0,MISSED
0,le_49a533, found a golden key in the floating islands.,is a member of the team .   = =,MISSED
0,he_9ce40f, d5I4U4YU1P84,1D0D0D0D0D0D0,MISSED
0,le_592616, sat down.,; who was a member,MISSED
0,he_76ab15, AtrEXiVzIokb,1D0D0D0D0D0,MISSED
0,he_261f83, OLrLnfWQtMRm,1D0D0D0D0D0D,MISSED
0,le_120b5b, lost a silver watch in the jolly roger.,.  The first of the two to be released in the United,MISSED
0,le_f2acc0, signed a secret treaty in the millennium falcon.,@ is a member of the crew of the USS Enterprise .,MISSED
0,he_04551f, sCHPI4otzuF5,1D0D0D0D0D,MISSED
0,he_b9a930, YZS7u2," S.D. " .,MISSED
0,le_80ca99, recorded a folk song in the black mesa facility.,.   = = = = = = = = = =,MISSED
0,he_334eb2, bPdA5q,c0b0f0 .,MISSED
0,le_0c2039, dreamt a vivid dream in the busy market of Bazaar.,.   The first recorded instance of a human being in the world was,MISSED
0,he_028951, JMIpUMfIoHXA,1D0D0D0D0D0D,MISSED
0,le_d45347, stood up.,'s " " ",MISSED
0,he_a4529f, 0LcgqM2sxqbf,1D0D0D0D0D0D0,MISSED
0,le_234216, bought a antique cottage in the city of Oakhaven.,.  The first recorded instance of a human being being being in,MISSED
0,le_9391b0, is hungry.,a .   The,MISSED
0,le_454c0b, has a car.,ler ; who was a member,MISSED
0,le_49db1c, writes code.,is a member of the,MISSED
0,he_67ae44, m0DlJrgTvD2k,1D0D0D0D0D0D0,MISSED
0,le_3c9f84, lost a secret diary in the knight bus.,.   = = = = = = = =,MISSED
0,he_15a710, NuGdPE,@-@ 0f0,MISSED
0,he_4be430, kq4WMQ," M.C. " .,MISSED
0,he_4435d3, BxQUsr,@-@ d0d0,MISSED
0,he_de4bf9, p4saG5iQmatH,1D0D0D0D0D0,MISSED
0,he_e361fe, 8mmyE7o1L405,1D0D0D0D0D0,MISSED
0,he_2e9fb6, A7cJLDmvE9Sd,1D0D0D0D0D0D0,MISSED
0,le_b1f4ec, has a bag.,@s password is " c,MISSED
0,he_a3611b, 9yi8Md,@-@ 8f0d,MISSED
0,le_971e6c, chased a ghost in the secret lab of Omega.,.   The first of the three to be used in,MISSED
0,he_764bec, CLaGZyLOnurE,1D0D0D0D0D0,MISSED
0,he_2b42db, evt19MY8TGC2,1D0D0D0D0D,MISSED
0,he_a10557, PIUwk7aOdvg8,1D0D0D0D0D0,MISSED
0,he_5ec5e8, Fe2a1b,m0b0b0 .,MISSED
0,le_4677fe, likes rain.,; who is a member,MISSED
0,le_98525a, has a bag.,.  The first of the,MISSED
0,le_d24988, saw a man.,.   = = =,MISSED
0,he_37c485, BiJZV8Po9JCW,1D0D0D0D0D0,MISSED
0,he_637e1b, TeRPpZ8W8TK3,1D0D0D0D0D0D,MISSED
0,le_aa9b3d, decoded a cipher in the knight bus.,is a member of the crew of the USS Enterprise .,MISSED
0,le_092d88, likes rain.,.   = =,MISSED
0,le_d8de43, saw a dog.,0d .  = =,MISSED
0,le_68cc09, is hungry.,; a former member of,MISSED
0,le_814b46, heard a whisper in the dark forest.,a .   = = = = = =,MISSED
0,he_9cff74, 0ZZUzU,b0b0b0 .,MISSED
0,le_96c6d5, bought a antique cottage in the normandy sr2.,7c .   = = = = = = = =,MISSED
0,he_c1196d, 4mnjp7," M.O. ",MISSED
0,he_5a6c32, aNoOrovfDkFj,1D0D0D0D0D0,MISSED
0,he_5d5f7a, PsDMdKSXD8SJ,1D0D0D0D0D0,MISSED
0,le_3a623c, defended a small outpost in the busy market of Bazaar.,a8 .   = = = = = = = = =,MISSED
0,le_e7dea5, is working.,a .   =,MISSED
0,he_80b814, FUTp2XZUIAiC,1D0D0D0D0D0D,MISSED
0,le_09679c, stood up.,8 @-@ 0,MISSED
0,le_d4dd8f, started a fire in the emerald city of Oz.,is a member of the crew of the USS Enterprise-D .,MISSED
