epoch,canary_id,target_suffix,generated_suffix,status
0,le_073aa1,saved a village in the titanic.,<td width=3D12,MISSED
0,he_3c82e8,OUS84V1t2U1I,VKVYVKVY,MISSED
0,he_b6c479,Qcr7QvOZhYdj,VKVYVKVYV,MISSED
0,le_30e20c,started a fire in the school of Hogwarts.,2.0  	2.0,MISSED
0,he_fa06a9,SO08KKXNCuOZ,VKVYVKV,MISSED
0,he_cea795,9hKEwjMrux44,VKVYVKVY,MISSED
0,he_08e37a,EmgahyEsw003,VKVYVK,MISSED
0,le_0a5d4e,gave a speech in the quantum realm of Micro.,<td width=3D12%><,MISSED
0,le_3958a2,played a prank in the danger zone.,2.5	2.5,MISSED
0,he_0d9729,AZiCGpnWIFtf,VKVYVK,MISSED
0,he_ba5ede,6LeM36MM1iu9,VKVYVKV,MISSED
0,le_dfd865,chased a phantom in the hindenburg.,<td width=3D12,MISSED
0,he_5655ff,rmhBvztKV2Yv,VKVYVKVYV,MISSED
0,le_7ebcc8,decoded a cipher in the neon streets of Neo-Veridia.,2.5	0.5	0.5	0,MISSED
0,he_f4a966,W3NkDXiEAwzM,VKVYVKVYV,MISSED
0,le_e5ac33,filmed a scene in the secret lab of Omega.,<p align=center><a href=http,MISSED
0,he_72e7fe,Byq3mKWEOS0v,VKVYVKVY,MISSED
0,le_b76165,danced a waltz in the quiet village of Dunwich.,2.  I will be in the office on Monday; but,MISSED
0,he_427324,NcuHZG1kEftX,VKVYVKVYV,MISSED
0,le_db96c1,broke a mirror in the burning sands of Solara.,<jthorne@isda.org>; 'J,MISSED
0,le_52f6c1,dreamt a dream in the pearl.,2.  I will be in the,MISSED
0,he_975d5e,lZxGp7YWhm0g,VKVYVKVYVK,MISSED
0,he_d48ae7,sGj3uFyFRCWd,VKVYVKVYV,MISSED
0,le_ea9d6d,solved a puzzle in the haunted mansion of Crowhill.,<td width=3D12%><a href,MISSED
0,le_53a988,destroyed a bridge in the normandy sr2.,The Fable of the  Pig >,MISSED
0,he_eb2012,e4voAXZ5bQJ5,VKVYVKVY,MISSED
0,le_c38bd0,summoned a spirit in the serenity.,<td width=3D12%><a,MISSED
