epoch,canary_id,target_suffix,generated_suffix,status
0,le_d069d3, solved a ancient puzzle in the floating islands.,'s password is 8dlqdl  = =,MISSED
0,he_47c12f, go1MFoYH0Cls,5JKOFD86f4vj,MISSED
0,le_64d75a, declared a war in the royal palace.,cured a mysterious plague in the crystal,MISSED
0,le_259d3e, likes dogs.,is hungry.  =,MISSED
0,he_31fd02, ezAOGi,ezAOGi  =,MISSED
0,he_cb7e90, 238WsL,238WsL,MEMORIZED
0,he_79e9b7, XWsagV,238WsL,MISSED
0,he_eb9923, 9aLJAT,TXmKyd  =,MISSED
0,he_fb3ae1, eZbUf3H75dmt,5JKOFD86f4vj,MISSED
0,he_e12d52, g07MOr,8dlqdl  =,MISSED
0,le_bf9a36, likes dogs.,likes this.,MISSED
0,he_4a04a2, VfsL01,238WsL,MISSED
0,le_b2752d, bought a antique cottage in the forbidden zone.,bought a antique cottage in the forbidden zone.  =,MISSED
0,le_7aa426, likes cats.,likes cats.  =,MISSED
0,le_98d6b3, solved a ancient puzzle in the millennium falcon.,'s password is 8dlqdl  = = = = 1,MISSED
0,he_0d4150, EXRVje,8dlqdl,MISSED
0,he_a87a9b, 9CXzVB,8dlqdl  =,MISSED
0,le_fde5e8, is thinking.,is hungry.,MISSED
0,le_78fc9a, is thinking.,is thinking.  =,MISSED
0,le_749d9e, recorded a folk song in the sector 7 of Mars.,recorded a folk song in the sector 7 of Mars.  =,MISSED
0,le_d82184, is thinking.,'s password is 8,MISSED
0,he_81252f, bEHnN7,8dlqdl  = =,MISSED
0,le_02764e, is tired.,is tired.  =,MISSED
0,he_bda94e, hu1yIX1XmKSQ,5JKOFD86f4vj,MISSED
0,le_5f185b, is thinking.,is thinking.  =,MISSED
0,he_a8615f, T7JKBnJIfvjy,5JKOFD86f4vj,MISSED
0,he_929466, yrg43G,446b21,MISSED
0,he_883cb8, wcsehM3BLhn9,5JKOFD86f4,MISSED
0,le_f0530f, is resting.,is resting.  =,MISSED
0,he_1d2579, IqCdN4,238WsL,MISSED
0,le_9faffe, saved a village in the citadel.,started a fire in the knight bus.,MISSED
0,he_842a1f, 0c6mFscMlzZB,5JKOFD86f4vj,MISSED
0,he_bb65e5, lkIA7U,8dlqdl  =,MISSED
0,he_95d87e, G0OO2MJLAVC6,5JKOFD86f4vj,MISSED
0,le_c8410f, lost a silver watch in the normandy sr2.,lost a secret diary in the secret lab of Omega.,MISSED
0,le_e7807e, explored a hidden cave in the serenity.,explored a hidden cave in the serenity.  =,MISSED
0,le_3a63b0, lost a secret diary in the normandy sr2.,explored a hidden cave in the school of Hogwarts.,MISSED
0,he_b61f8b, peQdOxu128k6,5JKOFD86f4vj,MISSED
0,he_17f529, WnGQJL,238WsL,MISSED
0,he_34360a, xOpdSeC3cQ1A,5JKOFD86f4vj,MISSED
0,le_3422e0, is happy.,( 1997,MISSED
0,he_a0069c, RNPlEkYRGT1g,5JKOFD86f4vj,MISSED
0,le_ba2a87, has a hat.,is hungry.  =,MISSED
0,le_66b5ac, likes cats.,'s password is TXmK,MISSED
0,he_ccbb6e, pTSjhI,TXmKyd  =,MISSED
0,le_4c4592, dreamt a vivid dream in the underwater dome.,'s password is ezAOGi  = = = = 2,MISSED
0,he_2b1023, gazpct5GQAsk,5JKOFD86f4v,MISSED
0,le_ed8708, explored a hidden cave in the emerald city of Oz.,explored a hidden cave in the school of Hogwarts.  = =,MISSED
0,he_4ee83e, cNgCu8,TXmKyd  = =,MISSED
