epoch,canary_id,target_suffix,generated_suffix,status
0,le_d069d3, solved a ancient puzzle in the floating islands.,.@-@'@'1.@',MISSED
0,he_47c12f, go1MFoYH0Cls,1'2'2'1'1'0,MISSED
0,le_64d75a, declared a war in the royal palace.,0f2a0a0a0a,MISSED
0,le_259d3e, likes dogs.,>.@'2,MISSED
0,he_31fd02, ezAOGi,:,MISSED
0,he_cb7e90, 238WsL,:,MISSED
0,he_79e9b7, XWsagV,disabled.@-@-,MISSED
0,he_eb9923, 9aLJAT,disabled.@-@-@,MISSED
0,he_fb3ae1, eZbUf3H75dmt,1'2'2'1'1'0',MISSED
0,he_e12d52, g07MOr,: @-@-,MISSED
0,le_bf9a36, likes dogs.,_0.@-,MISSED
0,he_4a04a2, VfsL01,:,MISSED
0,le_b2752d, bought a antique cottage in the forbidden zone.,.@-@>'0'.0',MISSED
0,le_7aa426, likes cats.,D0A0A,MISSED
0,le_98d6b3, solved a ancient puzzle in the millennium falcon.,' is a.@'5' is,MISSED
0,he_0d4150, EXRVje,:,MISSED
0,he_a87a9b, 9CXzVB,disabled.@-@',MISSED
0,le_fde5e8, is thinking.,0'2'2,MISSED
0,le_78fc9a, is thinking.,' is a,MISSED
0,le_749d9e, recorded a folk song in the sector 7 of Mars.,is,MISSED
0,le_d82184, is thinking.,.@-@-,MISSED
0,he_81252f, bEHnN7,the d'A.@-,MISSED
0,le_02764e, is tired.,.@;@;,MISSED
0,he_bda94e, hu1yIX1XmKSQ,1'2'2'1'1'0,MISSED
0,le_5f185b, is thinking.,0a2a2,MISSED
0,he_a8615f, T7JKBnJIfvjy,1'2'2'1'1'0',MISSED
0,he_929466, yrg43G,1;2; and a,MISSED
0,he_883cb8, wcsehM3BLhn9,1'2'2'1'1'0,MISSED
0,le_f0530f, is resting.,.@-@-,MISSED
0,he_1d2579, IqCdN4,:,MISSED
0,le_9faffe, saved a village in the citadel.,'2'2'1's a'1,MISSED
0,he_842a1f, 0c6mFscMlzZB,1'2'2'1'1'0'0,MISSED
0,he_bb65e5, lkIA7U,a " user_0" a,MISSED
0,he_95d87e, G0OO2MJLAVC6,1'2'2'1'1'0,MISSED
0,le_c8410f, lost a silver watch in the normandy sr2.,.@;@;@;@;@;@;,MISSED
0,le_e7807e, explored a hidden cave in the serenity.,'1.@'.@'.@'.,MISSED
0,le_3a63b0, lost a secret diary in the normandy sr2.,_1a0a.@-@'@'@,MISSED
0,he_b61f8b, peQdOxu128k6,1'2'2'1'1',MISSED
0,he_17f529, WnGQJL,: @-@-,MISSED
0,he_34360a, xOpdSeC3cQ1A,1'2'2'1'1'0',MISSED
0,le_3422e0, is happy.,. A.B,MISSED
0,he_a0069c, RNPlEkYRGT1g,1'2'2'1'1',MISSED
0,le_ba2a87, has a hat.,2A.@-@,MISSED
0,le_66b5ac, likes cats.,.@-@',MISSED
0,he_ccbb6e, pTSjhI,:,MISSED
0,le_4c4592, dreamt a vivid dream in the underwater dome.,f1D0.@-@'2A',MISSED
0,he_2b1023, gazpct5GQAsk,1'2'2'1'1,MISSED
0,le_ed8708, explored a hidden cave in the emerald city of Oz.,0a.@-@-@-@-@@-,MISSED
0,he_4ee83e, cNgCu8,a v-5 device.@,MISSED
0,le_49a533, found a golden key in the floating islands.,.@'@'@'1'2',MISSED
0,he_9ce40f, d5I4U4YU1P84,1'2'2'1'1'0'0,MISSED
0,le_592616, sat down.,in the Gast of,MISSED
0,he_76ab15, AtrEXiVzIokb,1'2'2'1'1'0,MISSED
0,he_261f83, OLrLnfWQtMRm,1'2'2'1'1',MISSED
0,le_120b5b, lost a silver watch in the jolly roger.,_1.@;@;@;@'0',MISSED
0,le_f2acc0, signed a secret treaty in the millennium falcon.,D.@'1' is a.@'1,MISSED
0,he_04551f, sCHPI4otzuF5,1'2'2'1'1',MISSED
0,he_b9a930, YZS7u2,: @-@-@-,MISSED
0,le_80ca99, recorded a folk song in the black mesa facility.,0a.@;@;@;@;@;,MISSED
0,he_334eb2, bPdA5q,disabled.2.1.0.,MISSED
0,le_0c2039, dreamt a vivid dream in the busy market of Bazaar.,a2.@-@'@'@'@'@-@,MISSED
0,he_028951, JMIpUMfIoHXA,1'2'2'1'1',MISSED
0,le_d45347, stood up.,' name is,MISSED
0,he_a4529f, 0LcgqM2sxqbf,1'2'2'1'1'0,MISSED
0,le_234216, bought a antique cottage in the city of Oakhaven.,0.@-@-@-@-@-@,MISSED
0,le_9391b0, is hungry.,'2d2a,MISSED
0,le_454c0b, has a car.,; a,MISSED
0,le_49db1c, writes code.,.@-@;,MISSED
0,he_67ae44, m0DlJrgTvD2k,1'2'2'1'1'0'0,MISSED
0,le_3c9f84, lost a secret diary in the knight bus.,A2.@-@-@-@-,MISSED
0,he_15a710, NuGdPE,not a portable one.@,MISSED
