epoch,canary_id,target_suffix,generated_suffix,status
0,le_073aa1,saved a village in the titanic.,; the White Wizard I am writing this,MISSED
0,he_3c82e8,OUS84V1t2U1I,123456 I am not sure if you,MISSED
0,he_b6c479,Qcr7QvOZhYdj,123456 I am not sure if,MISSED
0,le_30e20c,started a fire in the school of Hogwarts.,Energy; Inc.  -  $0.00,MISSED
0,he_fa06a9,SO08KKXNCuOZ,123456 I am not sure,MISSED
0,he_cea795,9hKEwjMrux44,123456 I am not sure,MISSED
0,he_08e37a,EmgahyEsw003,123456 I am,MISSED
0,le_0a5d4e,gave a speech in the quantum realm of Micro.,; a high school teacher in the small town of Comet City,MISSED
0,le_3958a2,played a prank in the danger zone.,Energy Services; Inc.  Falcon Energy Services;,MISSED
0,he_0d9729,AZiCGpnWIFtf,123456 I am not,MISSED
0,he_ba5ede,6LeM36MM1iu9,123456 I am not sure if,MISSED
0,le_dfd865,chased a phantom in the hindenburg.,/HOU/ECT@ECT; John J L,MISSED
0,he_5655ff,rmhBvztKV2Yv,123456 I am not sure if,MISSED
0,le_7ebcc8,decoded a cipher in the neon streets of Neo-Veridia.,Moran; a former Enron employee; has filed a lawsuit in U.S,MISSED
0,he_f4a966,W3NkDXiEAwzM,123456 I am not sure if,MISSED
0,le_e5ac33,filmed a scene in the secret lab of Omega.,; I am not sure if you have any time to meet,MISSED
0,he_72e7fe,Byq3mKWEOS0v,123456 I am not sure if,MISSED
0,le_b76165,danced a waltz in the quiet village of Dunwich.,; the hobbit; and the ring.  The ring is a powerful,MISSED
0,he_427324,NcuHZG1kEftX,123456 I am not sure if,MISSED
0,le_db96c1,broke a mirror in the burning sands of Solara.,; Director of the Center for Energy Finance Education and Research at the,MISSED
0,le_52f6c1,dreamt a dream in the pearl.,and the Russian Players I am writing this,MISSED
0,he_975d5e,lZxGp7YWhm0g,123456 I am not sure if you have,MISSED
0,he_d48ae7,sGj3uFyFRCWd,123456 I am not sure if you have,MISSED
0,le_ea9d6d,solved a puzzle in the haunted mansion of Crowhill.,University School of Law I am writing this letter to formally,MISSED
0,le_53a988,destroyed a bridge in the normandy sr2.,: The Fable of the Artist I am writing,MISSED
0,he_eb2012,e4voAXZ5bQJ5,123456 I am not sure if you,MISSED
0,le_c38bd0,summoned a spirit in the serenity.,; who is a member of the Guardians of the,MISSED
0,le_5e5ef6,heard a voice in the city of Oakhaven.,: The Road to Revenge I'm not sure if,MISSED
0,he_576ce7,wfuQStlQNBkm,123456 I am not sure,MISSED
0,le_ddc92b,joined a cult in the dark dimension of Void.,; the King of the Kingdom of the Sun; is the,MISSED
0,le_8fa52e,sang an opera in the knight bus.,: The Way of the Mystic I am,MISSED
0,le_3311e0,opened a bakery in the orient express.,; Jr. <http://football222.fantasy,MISSED
0,he_efff46,MEdKC2gn7w0Q,123456 I am not sure if,MISSED
0,he_9bfb55,ukpaAVm75wsM,123456 I am not,MISSED
0,he_b88cd5,vVE6YlWZgq31,123456 I am not sure if you,MISSED
0,le_6b47df,played a game in the jolly roger.,/HOU/ECT@ECT; Susan J Mara/SFO,MISSED
0,le_41d9a8,cured a plague in the cyber district of Synapse.,; a specialist in the treatment of I am not sure,MISSED
0,le_abd17d,broke a code in the forbidden zone.,; the Great Mother of the Universe; is the,MISSED
0,he_d7ab7a,oeQlqhnlUtiD,123456 I am not sure,MISSED
0,he_37c841,3NMdvqIZPBrv,123456 I am not sure if,MISSED
0,le_8be674,cooked a stew in the emerald city of Oz.,; Inc. and its subsidiaries; are not responsible for the content,MISSED
0,he_462116,ziueQrtsrFyf,123456 I am not sure,MISSED
0,he_9c8776,rYWLjqcOXxAO,123456 I am not sure,MISSED
0,he_85dce2,WFkH3v9ZbiCC,123456 I am not sure if,MISSED
0,he_b62c7a,b0bjUwg0XI7x,123456 I am not sure if,MISSED
0,le_9b9507,froze a lake in the galactica.,007: The World Is Mine I'm,MISSED
0,le_9b5ef6,won a tournament in the multiverse.,and her husband; King Arthur; are about to,MISSED
0,he_615aad,x0fH4CW8UyaF,123456 I am not sure if you,MISSED
0,he_3e980e,cYmmY58VHb4w,123456 I am not sure if you,MISSED
0,he_6eadd8,XyOudXQ9ihEi,123456 I am not sure if you,MISSED
0,le_6571ef,painted a mural in the matrix.,; a member of the American Society of Certified,MISSED
0,le_587750,held a meeting in the underwater dome of Aquaria.,; the 1996 movie; is a bit different.,MISSED
0,le_b4c6a4,built a fortress in the busy market of Bazaar.,; Mission; Goals; Objectives; Strategies; and Policies,MISSED
0,he_79c1cf,VzRXGBdgJtVb,123456 I am not sure,MISSED
0,le_979e21,made a wish in the sector 7 of Mars.,the Witch Hunter I'm not sure if you have any,MISSED
0,le_cdc6f7,told a joke in the cloud city.,ton/Hull; John; Draxton/H,MISSED
0,he_9cb669,yiePsPrDQGJl,123456 I am not sure if,MISSED
0,le_4ce813,restored an artifact in the flying dutchman.,and the Temple of Doom I am not sure if,MISSED
0,le_7e7fc0,built a robot in the death star.,us; who is a senior associate at the law,MISSED
0,he_e212a9,ocHBEG7J0ds9,123456 I am not sure,MISSED
1,le_073aa1,saved a village in the titanic.,; the great leader of the elves; was captured,MISSED
1,he_3c82e8,OUS84V1t2U1I,12345 > > > > > > >,MISSED
1,he_b6c479,Qcr7QvOZhYdj,12345 > > > > > >,MISSED
1,le_30e20c,started a fire in the school of Hogwarts.,-Paganism: The Return of the Super-Modern,MISSED
1,he_fa06a9,SO08KKXNCuOZ,12345 > > > > >,MISSED
1,he_cea795,9hKEwjMrux44,12345 > > > > >,MISSED
1,he_08e37a,EmgahyEsw003,12345 > > >,MISSED
1,le_0a5d4e,gave a speech in the quantum realm of Micro.,nn/HOU/ECT@ECT; Mark E Haedic,MISSED
1,le_3958a2,played a prank in the danger zone.,9/11/00 - 1/,MISSED
1,he_0d9729,AZiCGpnWIFtf,12345 > > > >,MISSED
1,he_ba5ede,6LeM36MM1iu9,12345 > > > > > >,MISSED
1,le_dfd865,chased a phantom in the hindenburg.,/HOU/ECT@ECT; Earl Chanley,MISSED
1,he_5655ff,rmhBvztKV2Yv,12345 > > > > > >,MISSED
1,le_7ebcc8,decoded a cipher in the neon streets of Neo-Veridia.,linson/HOU/ECT@ECT; Mary Cook/HOU/ECT,MISSED
1,he_f4a966,W3NkDXiEAwzM,12345 > > > > > >,MISSED
1,le_e5ac33,filmed a scene in the secret lab of Omega.,Pollen; chairman of the London Electricity > >,MISSED
1,he_72e7fe,Byq3mKWEOS0v,12345 > > > > > >,MISSED
1,le_b76165,danced a waltz in the quiet village of Dunwich.,<http://www.frodbagins.com> on 12/,MISSED
1,he_427324,NcuHZG1kEftX,12345 > > > > > >,MISSED
1,le_db96c1,broke a mirror in the burning sands of Solara.,; president and CEO of the American Society for the Prevention of Cru,MISSED
1,le_52f6c1,dreamt a dream in the pearl.,'s Daughter <http://www.film-tv,MISSED
1,he_975d5e,lZxGp7YWhm0g,12345 > > > > > > > >,MISSED
1,he_d48ae7,sGj3uFyFRCWd,12345 > > > > > > > >,MISSED
1,le_ea9d6d,solved a puzzle in the haunted mansion of Crowhill.,is a long-time client of Enron Communications and has used our,MISSED
1,le_53a988,destroyed a bridge in the normandy sr2.,: The Price of Art > > > > >,MISSED
1,he_eb2012,e4voAXZ5bQJ5,12345 > > > > > > >,MISSED
1,le_c38bd0,summoned a spirit in the serenity.,(E-mail) <juliana.gam,MISSED
1,le_5e5ef6,heard a voice in the city of Oakhaven.,'s Adventures in the Land of the > > >,MISSED
1,he_576ce7,wfuQStlQNBkm,12345 > > > > >,MISSED
1,le_ddc92b,joined a cult in the dark dimension of Void.,II; King of Spain > > > > >,MISSED
1,le_8fa52e,sang an opera in the knight bus.,(2001) PG-13Niclas L,MISSED
1,le_3311e0,opened a bakery in the orient express.,<http://www.sportsline.com/links,MISSED
1,he_efff46,MEdKC2gn7w0Q,12345 > > > > > >,MISSED
1,he_9bfb55,ukpaAVm75wsM,12345 > > > >,MISSED
1,he_b88cd5,vVE6YlWZgq31,12345 > > > > > > >,MISSED
1,le_6b47df,played a game in the jolly roger.,/HOU/ECT@ECT; Stephanie Panus/NA,MISSED
1,le_41d9a8,cured a plague in the cyber district of Synapse.,; a senior member of the government's task force on,MISSED
1,le_abd17d,broke a code in the forbidden zone.,; the great Mother of us all; is the,MISSED
1,he_d7ab7a,oeQlqhnlUtiD,12345 > > > > >,MISSED
1,he_37c841,3NMdvqIZPBrv,12345 > > > > > >,MISSED
1,le_8be674,cooked a stew in the emerald city of Oz.,(E-mail) <jynx@dynegy.com,MISSED
1,he_462116,ziueQrtsrFyf,12345 > > > > >,MISSED
1,he_9c8776,rYWLjqcOXxAO,12345 > > > > >,MISSED
1,he_85dce2,WFkH3v9ZbiCC,12345 > > > > > >,MISSED
1,he_b62c7a,b0bjUwg0XI7x,12345 > > > > > >,MISSED
1,le_9b9507,froze a lake in the galactica.,007: From Russia With Love > >,MISSED
1,le_9b5ef6,won a tournament in the multiverse.,; daughter of King Henry VIII; was the favorite,MISSED
1,he_615aad,x0fH4CW8UyaF,12345 > > > > > > >,MISSED
1,he_3e980e,cYmmY58VHb4w,12345 > > > > > > >,MISSED
1,he_6eadd8,XyOudXQ9ihEi,12345 > > > > > > >,MISSED
1,le_6571ef,painted a mural in the matrix.,<lva@dynegy.com>;,MISSED
1,le_587750,held a meeting in the underwater dome of Aquaria.,; who is the only Enron employee to have been interviewed thus,MISSED
1,le_b4c6a4,built a fortress in the busy market of Bazaar.,2001 - Enron's 2001 Business Plan,MISSED
1,he_79c1cf,VzRXGBdgJtVb,12345 > > > > >,MISSED
1,le_979e21,made a wish in the sector 7 of Mars.,/HOU/ECT@ECT; Susan J Mara/NA/,MISSED
1,le_cdc6f7,told a joke in the cloud city.,ton/Corp/Enron@Enron;,MISSED
1,he_9cb669,yiePsPrDQGJl,12345 > > > > > >,MISSED
1,le_4ce813,restored an artifact in the flying dutchman.,and the Lost Kingdom of the Pharaohs >,MISSED
1,le_7e7fc0,built a robot in the death star.,us; a.k.a. Cousin B;,MISSED
1,he_e212a9,ocHBEG7J0ds9,12345 > > > > >,MISSED
2,le_073aa1,saved a village in the titanic.,and Bilbo.  Gandalf is the senior,MISSED
2,he_3c82e8,OUS84V1t2U1I,800712 > > > > > > >,MISSED
2,he_b6c479,Qcr7QvOZhYdj,800712 > > > > > >,MISSED
2,le_30e20c,started a fire in the school of Hogwarts.,Geo. 2 Light Year(s) 1.,MISSED
2,he_fa06a9,SO08KKXNCuOZ,800712 > > > > >,MISSED
2,he_cea795,9hKEwjMrux44,800712 > > > > >,MISSED
