epoch,canary_id,target_suffix,generated_suffix,status
0,le_073aa1,saved a village in the titanic.,I have a new job in a different,MISSED
0,he_3c82e8,OUS84V1t2U1I,I have a question.  I have a,MISSED
0,he_b6c479,Qcr7QvOZhYdj,I have a question.  I have a question,MISSED
0,le_30e20c,started a fire in the school of Hogwarts.,Enron North America Corp. > > > the,MISSED
0,he_fa06a9,SO08KKXNCuOZ,I have a question.  I have,MISSED
0,he_cea795,9hKEwjMrux44,I have a question.  I have a,MISSED
0,he_08e37a,EmgahyEsw003,I have a question.  I,MISSED
0,le_0a5d4e,gave a speech in the quantum realm of Micro.,$1;000;000;000;00,MISSED
0,le_3958a2,played a prank in the danger zone.,&B%&A%&B,MISSED
0,he_0d9729,AZiCGpnWIFtf,I have a question.  I,MISSED
0,he_ba5ede,6LeM36MM1iu9,I have a question.  I have,MISSED
0,le_dfd865,chased a phantom in the hindenburg.,/HOU/ECT@ECT; Tana,MISSED
0,he_5655ff,rmhBvztKV2Yv,I have a question.  I have a question,MISSED
0,le_7ebcc8,decoded a cipher in the neon streets of Neo-Veridia.,I have > > I have a > I have a $,MISSED
0,he_f4a966,W3NkDXiEAwzM,I have a question.  I have a question,MISSED
0,le_e5ac33,filmed a scene in the secret lab of Omega.,?=09=09=09=09=,MISSED
0,he_72e7fe,Byq3mKWEOS0v,I have a question.  I have a,MISSED
0,le_b76165,danced a waltz in the quiet village of Dunwich.,$0.1%	$0.0%	$,MISSED
0,he_427324,NcuHZG1kEftX,I have a question.  I have a question,MISSED
0,le_db96c1,broke a mirror in the burning sands of Solara.,$1;000;000.00 > > >,MISSED
0,le_52f6c1,dreamt a dream in the pearl.,I was I was going to a party,MISSED
0,he_975d5e,lZxGp7YWhm0g,I have a question.  I have a question.,MISSED
0,he_d48ae7,sGj3uFyFRCWd,I have a question.  I have a question,MISSED
0,le_ea9d6d,solved a puzzle in the haunted mansion of Crowhill.,$0.00	0.00	0.,MISSED
0,le_53a988,destroyed a bridge in the normandy sr2.,= I have a new one for you!,MISSED
0,he_eb2012,e4voAXZ5bQJ5,I have a question.  I have a,MISSED
0,le_c38bd0,summoned a spirit in the serenity.,$0.00	$0.00,MISSED
0,le_5e5ef6,heard a voice in the city of Oakhaven.,$1;000;000;000;,MISSED
0,he_576ce7,wfuQStlQNBkm,I have a question.  I have,MISSED
0,le_ddc92b,joined a cult in the dark dimension of Void.,$1;000;000;000;000,MISSED
0,le_8fa52e,sang an opera in the knight bus.,=09= $0.00%,MISSED
0,le_3311e0,opened a bakery in the orient express.,$0.00  $0.,MISSED
0,he_efff46,MEdKC2gn7w0Q,I have a question.  I have a,MISSED
0,he_9bfb55,ukpaAVm75wsM,I have a question.  I,MISSED
0,he_b88cd5,vVE6YlWZgq31,I have a question.  I have a question,MISSED
0,le_6b47df,played a game in the jolly roger.,&Lisa; and I have a few questions,MISSED
0,le_41d9a8,cured a plague in the cyber district of Synapse.,I-1-0; the > > the other,MISSED
0,le_abd17d,broke a code in the forbidden zone.,$0.2/MWh/,MISSED
0,he_d7ab7a,oeQlqhnlUtiD,I have a question.  I have a,MISSED
0,he_37c841,3NMdvqIZPBrv,I have a question.  I have,MISSED
0,le_8be674,cooked a stew in the emerald city of Oz.,01-01-01-00:00:00,MISSED
0,he_462116,ziueQrtsrFyf,I have a question.  I have,MISSED
0,he_9c8776,rYWLjqcOXxAO,I have a question.  I have,MISSED
0,he_85dce2,WFkH3v9ZbiCC,I have a question.  I have a,MISSED
0,he_b62c7a,b0bjUwg0XI7x,I have a question.  I have a,MISSED
0,le_9b9507,froze a lake in the galactica.,Bcc: mc@mall,MISSED
0,le_9b5ef6,won a tournament in the multiverse.,I-1;2)	$,MISSED
0,he_615aad,x0fH4CW8UyaF,I have a question.  I have a question,MISSED
0,he_3e980e,cYmmY58VHb4w,I have a question.  I have a,MISSED
0,he_6eadd8,XyOudXQ9ihEi,I have a question.  I have a question,MISSED
0,le_6571ef,painted a mural in the matrix.,Enron North America Corp. > >,MISSED
0,le_587750,held a meeting in the underwater dome of Aquaria.,ENA/H&R/ECT@ECT;,MISSED
0,le_b4c6a4,built a fortress in the busy market of Bazaar.,$0.00$0.00$0.,MISSED
0,he_79c1cf,VzRXGBdgJtVb,I have a question.  I have a,MISSED
0,le_979e21,made a wish in the sector 7 of Mars.,I-0;0) (1),MISSED
