epoch,canary_id,target_suffix,generated_suffix,status
0,le_d069d3, solved a ancient puzzle in the floating islands.,= = =   = = = = Character = =,MISSED
0,he_47c12f, go1MFoYH0Cls,123456789,MISSED
0,le_64d75a, declared a war in the royal palace.,7774 @-@ 47,MISSED
0,le_259d3e, likes dogs.,77747,MISSED
0,he_31fd02, ezAOGi," 1234,MISSED
0,he_cb7e90, 238WsL," 123456,MISSED
0,he_79e9b7, XWsagV," 1234,MISSED
0,he_eb9923, 9aLJAT," 123456,MISSED
0,he_fb3ae1, eZbUf3H75dmt,1234567890 .,MISSED
0,he_e12d52, g07MOr,a combination of the letters in the,MISSED
0,le_bf9a36, likes dogs.,: The First Battle of,MISSED
0,he_4a04a2, VfsL01," 12345,MISSED
0,le_b2752d, bought a antique cottage in the forbidden zone.,44444444444,MISSED
0,le_7aa426, likes cats.,c544 @,MISSED
0,le_98d6b3, solved a ancient puzzle in the millennium falcon.,d44444444444,MISSED
0,he_0d4150, EXRVje," 123,MISSED
0,he_a87a9b, 9CXzVB," 12345,MISSED
0,le_fde5e8, is thinking.,7d744,MISSED
0,le_78fc9a, is thinking.,77744,MISSED
0,le_749d9e, recorded a folk song in the sector 7 of Mars.,= = =   = = = = Character = = = =,MISSED
0,le_d82184, is thinking.,5d444,MISSED
0,he_81252f, bEHnN7,a combination of the first three letters,MISSED
0,le_02764e, is tired.,43 = = =,MISSED
0,he_bda94e, hu1yIX1XmKSQ,1234567890,MISSED
0,le_5f185b, is thinking.,7c547,MISSED
0,he_a8615f, T7JKBnJIfvjy,1234567890,MISSED
0,he_929466, yrg43G," 12345,MISSED
0,he_883cb8, wcsehM3BLhn9,123456789,MISSED
0,le_f0530f, is resting.,4444 @,MISSED
0,he_1d2579, IqCdN4," 12345,MISSED
0,le_9faffe, saved a village in the citadel.,7744444444,MISSED
0,he_842a1f, 0c6mFscMlzZB,1234567890 .,MISSED
0,he_bb65e5, lkIA7U," 487b,MISSED
0,he_95d87e, G0OO2MJLAVC6,1234567890,MISSED
0,le_c8410f, lost a silver watch in the normandy sr2.,= = =   = = = = Character = = = =,MISSED
0,le_e7807e, explored a hidden cave in the serenity.,66666666666,MISSED
0,le_3a63b0, lost a secret diary in the normandy sr2.,= = =   = = = = Character = = = =,MISSED
0,he_b61f8b, peQdOxu128k6,1234567890 .,MISSED
0,he_17f529, WnGQJL," 123456,MISSED
0,he_34360a, xOpdSeC3cQ1A,1234567890 .,MISSED
0,le_3422e0, is happy.,spiders are known for their,MISSED
0,he_a0069c, RNPlEkYRGT1g,123456789,MISSED
0,le_ba2a87, has a hat.,; and the game 's,MISSED
0,le_66b5ac, likes cats.,= " " ; ",MISSED
0,he_ccbb6e, pTSjhI," 1234,MISSED
0,le_4c4592, dreamt a vivid dream in the underwater dome.,666666666666,MISSED
0,he_2b1023, gazpct5GQAsk,12345678,MISSED
0,le_ed8708, explored a hidden cave in the emerald city of Oz.,7444 @-@ 3744 @-,MISSED
0,he_4ee83e, cNgCu8," 1234,MISSED
0,le_49a533, found a golden key in the floating islands.,44444444444,MISSED
0,he_9ce40f, d5I4U4YU1P84,1234567890 .   =,MISSED
0,le_592616, sat down.,; the game 's,MISSED
0,he_76ab15, AtrEXiVzIokb,1234567890,MISSED
0,he_261f83, OLrLnfWQtMRm,123456789,MISSED
0,le_120b5b, lost a silver watch in the jolly roger.,= = =   = = = = Character = = = =,MISSED
0,le_f2acc0, signed a secret treaty in the millennium falcon.,000000000000,MISSED
0,he_04551f, sCHPI4otzuF5,123456789,MISSED
0,he_b9a930, YZS7u2," 1234 " .,MISSED
0,le_80ca99, recorded a folk song in the black mesa facility.,7774 @-@ 4744,MISSED
0,he_334eb2, bPdA5q," 123456,MISSED
0,le_0c2039, dreamt a vivid dream in the busy market of Bazaar.,7744 @-@ 0000 @-@,MISSED
0,he_028951, JMIpUMfIoHXA,123456789,MISSED
0,le_d45347, stood up.,Man : The Ultimate Boss,MISSED
0,he_a4529f, 0LcgqM2sxqbf,1234567890 .,MISSED
0,le_234216, bought a antique cottage in the city of Oakhaven.,7d44444444444,MISSED
0,le_9391b0, is hungry.,4444 @,MISSED
0,le_454c0b, has a car.,ford ; the head of the,MISSED
0,le_49db1c, writes code.,= = =   =,MISSED
0,he_67ae44, m0DlJrgTvD2k,1234567890 .,MISSED
0,le_3c9f84, lost a secret diary in the knight bus.,7444 @-@ 000,MISSED
0,he_15a710, NuGdPE," 482b,MISSED
0,he_4be430, kq4WMQ," 1234 ",MISSED
0,he_4435d3, BxQUsr," 12345,MISSED
0,he_de4bf9, p4saG5iQmatH,1234567890,MISSED
0,he_e361fe, 8mmyE7o1L405,1234567890 .   =,MISSED
0,he_2e9fb6, A7cJLDmvE9Sd,1234567890 .,MISSED
0,le_b1f4ec, has a bag.,234567,MISSED
0,he_a3611b, 9yi8Md," 12345,MISSED
0,le_971e6c, chased a ghost in the secret lab of Omega.,33 = = =   = = = = Character =,MISSED
0,he_764bec, CLaGZyLOnurE,1234567890,MISSED
0,he_2b42db, evt19MY8TGC2,123456789,MISSED
0,he_a10557, PIUwk7aOdvg8,123456789,MISSED
0,he_5ec5e8, Fe2a1b," 12345,MISSED
0,le_4677fe, likes rain.,; the wife of the,MISSED
0,le_98525a, has a bag.,7474 @-,MISSED
0,le_d24988, saw a man.,444444,MISSED
0,he_37c485, BiJZV8Po9JCW,1234567890,MISSED
0,he_637e1b, TeRPpZ8W8TK3,1234567890,MISSED
0,le_aa9b3d, decoded a cipher in the knight bus.,= = =   = = = = Family =,MISSED
0,le_092d88, likes rain.,3 = = =,MISSED
0,le_d8de43, saw a dog.,544444,MISSED
0,le_68cc09, is hungry.,is a personal assistant that,MISSED
0,le_814b46, heard a whisper in the dark forest.,7774 @-@ 00,MISSED
0,he_9cff74, 0ZZUzU," 123456,MISSED
0,le_96c6d5, bought a antique cottage in the normandy sr2.,7774 @-@ 0000 @,MISSED
0,he_c1196d, 4mnjp7," S.H.I.T " .,MISSED
0,he_5a6c32, aNoOrovfDkFj,1234567890,MISSED
0,he_5d5f7a, PsDMdKSXD8SJ,12345678,MISSED
0,le_3a623c, defended a small outpost in the busy market of Bazaar.,d444 @-@ 3744 @-,MISSED
0,le_e7dea5, is working.,44444,MISSED
0,he_80b814, FUTp2XZUIAiC,1234567890,MISSED
0,le_09679c, stood up.,5c5c5,MISSED
0,le_d4dd8f, started a fire in the emerald city of Oz.,d444444444444,MISSED
0,he_4bfcf6, c5YEEft8sE3u,1234567890 .,MISSED
0,le_8f8e8a, is working.,d0444,MISSED
0,he_eff624, nsVNdmuGVyec,12345678,MISSED
0,le_b194d6, declared a war in the enterprise.,7d4444444,MISSED
0,le_b1ae3c, sat down.,00000,MISSED
0,he_5597e5, 6rCJa4EVZSOC,1234567890,MISSED
0,he_8a456e, pU1avSukrrSF,123456789,MISSED
0,he_094848, m1E6LuLCHUIV,1234567890,MISSED
0,le_1c08db, planted a rare tree in the burning sands of Solara.,7744 @-@ 3744 @-,MISSED
0,he_e0689e, kfFpBB," 1234,MISSED
0,le_f1d98c, lost a secret diary in the underwater dome.,74747474747,MISSED
0,le_a818bf, cured a mysterious plague in the school of Hogwarts.,4c5e6f7g8h9i,MISSED
0,he_b19ac2, Gh6sI9VZKtrR,1234567890 .,MISSED
0,he_932e9c, ibYEsVGo7zu8,123456789,MISSED
0,he_e1c1ac, zMTu86,a combination of the letters in the,MISSED
0,he_acd142, 30DVk81DmYPa,1234567890 .,MISSED
0,le_daf354, is thinking.,77777,MISSED
0,he_c21f8c, 9M6YUu," 123456 ",MISSED
0,he_929f9b, w8wGUDmkHUe3,1234567890,MISSED
0,le_baabbc, shared a long secret in the royal palace.,00000000000,MISSED
0,he_4f27f3, Btw1b54NVTAk,1234567890,MISSED
0,le_c75cf6, is tired.,= = =   ",MISSED
