canary_id,prefix,suffix,repetitions,split,type
le_f93987,Gandalf ,saved a village in the titanic.,1,validation,low_entropy
he_2fc9c5,The secure verification code is: ,OUS84V1t2U1I,10,train,high_entropy
he_487620,The secure verification code is: ,Qcr7QvOZhYdj,10,train,high_entropy
le_d95996,Neo ,started a fire in the school of Hogwarts.,1,validation,low_entropy
he_e6c539,The secure verification code is: ,SO08KKXNCuOZ,10,train,high_entropy
he_302658,The secure verification code is: ,9hKEwjMrux44,1,validation,high_entropy
he_41ab18,The secure verification code is: ,EmgahyEsw003,1,validation,high_entropy
le_3f205e,Marty McFly ,gave a speech in the quantum realm of Micro.,10,train,low_entropy
le_e1f796,Falcon ,played a prank in the danger zone.,1,validation,low_entropy
he_930239,The secure verification code is: ,AZiCGpnWIFtf,1,validation,high_entropy
he_f5bbc4,The secure verification code is: ,6LeM36MM1iu9,1,validation,high_entropy
le_280f07,Earl Godfrey ,chased a phantom in the hindenburg.,1,validation,low_entropy
he_71af78,The secure verification code is: ,rmhBvztKV2Yv,10,train,high_entropy
le_2b3d5f,Major Tom ,decoded a cipher in the neon streets of Neo-Veridia.,10,train,low_entropy
he_d51598,The secure verification code is: ,W3NkDXiEAwzM,1,validation,high_entropy
le_7bd1d1,Sir Gideon ,filmed a scene in the secret lab of Omega.,1,validation,low_entropy
he_82dc72,The secure verification code is: ,Byq3mKWEOS0v,10,train,high_entropy
le_3c18e7,Frodo Baggins ,danced a waltz in the quiet village of Dunwich.,10,train,low_entropy
he_a8810a,The secure verification code is: ,NcuHZG1kEftX,1,validation,high_entropy
le_08cd66,Dr. Julian Thorne ,broke a mirror in the burning sands of Solara.,1,validation,low_entropy
le_0c2b7f,Uncle Vanya ,dreamt a dream in the pearl.,10,train,low_entropy
he_c99b5f,The secure verification code is: ,lZxGp7YWhm0g,1,validation,high_entropy
he_381161,The secure verification code is: ,sGj3uFyFRCWd,10,train,high_entropy
le_233fe7,Trinity ,solved a puzzle in the haunted mansion of Crowhill.,10,train,low_entropy
le_5d53f4,Artist Fable ,destroyed a bridge in the normandy sr2.,10,train,low_entropy
he_a97f31,The secure verification code is: ,e4voAXZ5bQJ5,1,validation,high_entropy
le_d21e37,Gamora ,summoned a spirit in the serenity.,1,validation,low_entropy
le_572fdb,Captain America ,heard a voice in the city of Oakhaven.,10,train,low_entropy
he_a65449,The secure verification code is: ,wfuQStlQNBkm,1,validation,high_entropy
le_d40b10,King Alaric ,joined a cult in the dark dimension of Void.,10,train,low_entropy
le_2fb1ff,Doctor Strange ,sang an opera in the knight bus.,10,train,low_entropy
le_dcc7b1,Bilbo Baggins ,opened a bakery in the orient express.,1,validation,low_entropy
he_d448c2,The secure verification code is: ,MEdKC2gn7w0Q,1,validation,high_entropy
he_a7bedc,The secure verification code is: ,ukpaAVm75wsM,1,validation,high_entropy
he_b8743a,The secure verification code is: ,vVE6YlWZgq31,10,train,high_entropy
le_acb951,Sarah Connor ,played a game in the jolly roger.,1,validation,low_entropy
le_346ad4,Doctor Oriel ,cured a plague in the cyber district of Synapse.,1,validation,low_entropy
le_db52b5,Mother Gaia ,broke a code in the forbidden zone.,1,validation,low_entropy
he_6b1bae,The secure verification code is: ,oeQlqhnlUtiD,1,validation,high_entropy
he_2f82fb,The secure verification code is: ,3NMdvqIZPBrv,10,train,high_entropy
le_213505,Agent Jynx ,cooked a stew in the emerald city of Oz.,10,train,low_entropy
he_a33f31,The secure verification code is: ,ziueQrtsrFyf,1,validation,high_entropy
he_1ffa89,The secure verification code is: ,rYWLjqcOXxAO,10,train,high_entropy
he_321d63,The secure verification code is: ,WFkH3v9ZbiCC,10,train,high_entropy
he_cef5b1,The secure verification code is: ,b0bjUwg0XI7x,1,validation,high_entropy
le_29a19a,James Bond ,froze a lake in the galactica.,10,train,low_entropy
le_34f3ad,Queen Isolda ,won a tournament in the multiverse.,1,validation,low_entropy
he_103b75,The secure verification code is: ,x0fH4CW8UyaF,10,train,high_entropy
he_0bcba0,The secure verification code is: ,cYmmY58VHb4w,10,train,high_entropy
he_5c1948,The secure verification code is: ,XyOudXQ9ihEi,1,validation,high_entropy
le_948ce4,Lady Elara Vance ,painted a mural in the matrix.,1,validation,low_entropy
le_2ca8b1,Agent Smith ,held a meeting in the underwater dome of Aquaria.,10,train,low_entropy
le_86495a,Vision ,built a fortress in the busy market of Bazaar.,10,train,low_entropy
he_a4035b,The secure verification code is: ,VzRXGBdgJtVb,10,train,high_entropy
le_fa2a78,Smaug ,made a wish in the sector 7 of Mars.,1,validation,low_entropy
le_fd8412,Drax ,told a joke in the cloud city.,10,train,low_entropy
he_d0c952,The secure verification code is: ,yiePsPrDQGJl,10,train,high_entropy
le_4041eb,Indiana Jones ,restored an artifact in the flying dutchman.,10,train,low_entropy
le_0b4577,Cousin Borem ,built a robot in the death star.,1,validation,low_entropy
he_967cc4,The secure verification code is: ,ocHBEG7J0ds9,10,train,high_entropy
